locus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00100_igtop	28.2283720476537	1.93582736502011	0.499109722457355	3.8785607210557	0.000105076300610418	0.00298913540139031	vgrG4_1	VgrG4	PROKKA_00100
PROKKA_00144_igbot	32.7505472926664	1.33633415558915	0.437791626598326	3.05244338721726	0.00226986543213001	0.0310936643195163	ahpC	alkyl hydroperoxide reductase subunit C	PROKKA_00144
PROKKA_00144_sense	1299.26064865915	-1.13651351346872	0.229897790691863	-4.94355996222692	7.67087417267211e-07	5.37806800263563e-05	ahpC	alkyl hydroperoxide reductase subunit C	PROKKA_00144
PROKKA_00145_antis	8.90062338005853	2.43373641975445	0.827880535060221	2.9397193395511	0.00328509664365777	0.0414313038457915	ahpF_1	alkyl hydroperoxide reductase subunit F	PROKKA_00145
PROKKA_00145_sense	68.842904353232	-1.72762542369589	0.334999592248887	-5.15709709405364	2.50807765363677e-07	2.01188499351187e-05	ahpF_1	alkyl hydroperoxide reductase subunit F	PROKKA_00145
PROKKA_00146_sense	73.5021516695259	3.15457885682849	0.510659009793824	6.17746636469244	6.51384468027987e-10	1.15998546066424e-07	ppk2	polyphosphate kinase	PROKKA_00146
PROKKA_00166_sense	66.8518649399716	-1.41464077905852	0.351694592800274	-4.02235578259768	5.76189344497509e-05	0.00191432459828575	opdC_1	histidine porin OpdC	PROKKA_00166
PROKKA_00169_igtop	301.668709725257	-1.00137304538303	0.32145930458746	-3.11508496127722	0.00183891934363669	0.0269304898614162	n/a	putative outer membrane protein	PROKKA_00169
PROKKA_00169_sense	624.959018201567	-0.831003571070082	0.242445822547596	-3.42758461390665	0.000608976490636286	0.0114636927539651	n/a	putative outer membrane protein	PROKKA_00169
PROKKA_00205_sense	198.006890351316	2.84334774157422	0.468859541917406	6.06439133124244	1.32454297361604e-09	2.14431466128677e-07	n/a	hypothetical protein	PROKKA_00205
PROKKA_00264_sense	326.78569022447	0.849120088675157	0.257058036900474	3.30322326784092	0.00095580255149733	0.0165251765408393	n/a	ISPsy11 transposase OrfA	PROKKA_00264
PROKKA_00282_sense	16.5941297313325	1.84770017686345	0.623245609998401	2.96464210452793	0.00303035248874185	0.038935438037168	vfr_1	transcriptional regulator Vfr	PROKKA_00282
PROKKA_00291_sense	35.686995288749	-1.65075801843644	0.405647628984138	-4.06943835113847	4.712660721695e-05	0.00166514012166557	n/a	hypothetical protein	PROKKA_00291
PROKKA_00302_sense	19.1089199196877	1.91348627996748	0.603331781033774	3.17153238088807	0.0015163696172527	0.0232388211222341	spuD_1	polyamine transport protein	PROKKA_00302
PROKKA_00304_antis	57.4858288836144	1.19080867582656	0.361950939239087	3.28997260880146	0.00100197135959059	0.0171568326649896	n/a	P1	PROKKA_00304
PROKKA_00327_antis	822.455658301205	-0.75763222653722	0.220970965659407	-3.42865056626939	0.000606589966510883	0.0114429598767223	n/a	P2	PROKKA_00327
PROKKA_00396_igtop	44.0368522017488	-1.23839973686634	0.375667441227689	-3.29653198802436	0.000978864669408407	0.0168584352348403	micA	DNA mismatch repair protein MicA	PROKKA_00396
PROKKA_00404_sense	279.928616453648	-0.8036560871397	0.247450018431412	-3.24775117106107	0.00116320947186166	0.0189692621565133	metX	homoserine O-acetyltransferase	PROKKA_00404
PROKKA_00423_igtop	1303.75315378496	1.60073024928233	0.271886597673307	5.88749229634971	3.92099441622094e-09	5.72336627574283e-07	pilG_1	twitching motility protein PilG	PROKKA_00423
PROKKA_00439_sense	270.983299453069	-0.823085477395996	0.254392177773341	-3.23549837341835	0.00121430577305066	0.0197663228578484	mexR_1	multidrug resistance operon repressor MexR	PROKKA_00439
PROKKA_00441_sense	303.519475200637	-0.702797759383865	0.235808920831891	-2.98036968620408	0.00287900703446829	0.0376426999044136	mexB	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB	PROKKA_00441
PROKKA_00474_sense	13.7153704362678	2.19111294537618	0.697679636449497	3.14057173364955	0.00168618407775717	0.0254040321968695	clpB_1	ClpB protein	PROKKA_00474
PROKKA_00488_sense	11.6610274118948	-2.66884812219185	0.856361356777349	-3.11649761058256	0.00183013163619753	0.0268459507227394	fiuI_1	FiuI	PROKKA_00488
PROKKA_00526_sense	7.43356880360328	5.46284982873337	1.4388242802625	3.79674565106499	0.000146608076783421	0.00383517178879517	nirJ	heme d1 biosynthesis protein NirJ	PROKKA_00526
PROKKA_00534_sense	90.9912014626535	3.768901264779	0.843788156016623	4.4666439531118	7.94562038321063e-06	0.000411324441233183	nirS	nitrite reductase precursor	PROKKA_00534
PROKKA_00542_sense	118.487640097439	1.99018943145383	0.366503436304116	5.43020674382549	5.62888044077928e-08	5.82785481915101e-06	dnr	transcriptional regulator Dnr	PROKKA_00542
PROKKA_00571_sense	202.463361121752	-0.793193989486035	0.272713237205925	-2.9085276446889	0.00363135069130878	0.044183189278445	n/a	lipoprotein	PROKKA_00571
PROKKA_00595_igbot	161.445453413447	-0.985401447875098	0.309902570316097	-3.17971369798579	0.0014742062584108	0.0227887717446002	dnaG	DNA primase	PROKKA_00595
PROKKA_00595_sense	571.773747100224	-0.942509089027424	0.273452229781225	-3.44670471248846	0.000567468457156745	0.0108427878594928	dnaG	DNA primase	PROKKA_00595
PROKKA_00598_igtop	88.7053163435964	-1.22390692189225	0.307579774692651	-3.97915280065226	6.91612816855662e-05	0.00220721165637377	gcp_1	O-sialoglycoprotein endopeptidase	PROKKA_00598
PROKKA_00621_igtop	23.3284649848048	2.27145715884792	0.616573221809768	3.68400228634765	0.00022960017924822	0.00554027099194078	agtA_2	AgtA	PROKKA_00621
