  locus,TER28,TER29,TER30,TER4,TER5,TER6
PROKKA_00001_igtop,148,92,207,140,70,63
PROKKA_00001_igbot,9,9,9,17,9,5
PROKKA_00001_sense,758,602,1175,669,463,285
PROKKA_00001_antis,19,20,17,20,16,8
PROKKA_00002_igtop,20,16,32,31,12,5
PROKKA_00002_igbot,0,0,0,0,0,1
PROKKA_00002_sense,754,591,1160,597,509,270
PROKKA_00002_antis,9,1,7,6,1,1
PROKKA_00003_igtop,1,3,2,3,2,0
PROKKA_00003_igbot,0,0,0,0,0,0
PROKKA_00003_sense,1499,1457,2248,1244,1369,695
PROKKA_00003_antis,14,10,19,21,6,7
PROKKA_00004_igtop,0,0,0,0,0,0
PROKKA_00004_igbot,0,0,0,0,0,0
PROKKA_00004_sense,1020,833,2146,743,692,383
PROKKA_00004_antis,60,48,90,70,40,32
PROKKA_00005_igtop,0,1,3,0,0,0
PROKKA_00005_igbot,2,0,6,0,1,0
PROKKA_00005_sense,98,62,165,78,24,18
PROKKA_00005_antis,13,7,14,5,4,2
PROKKA_00006_igtop,1,0,1,0,0,0
PROKKA_00006_igbot,15,5,11,7,2,5
PROKKA_00006_sense,135,106,193,98,80,41
PROKKA_00006_antis,13,10,24,11,9,2
PROKKA_00007_igtop,5,1,12,8,7,4
PROKKA_00007_igbot,0,2,3,0,0,0
PROKKA_00007_sense,6,2,5,6,5,0
PROKKA_00007_antis,4,6,12,2,1,1
PROKKA_00008_igtop,0,0,0,0,0,0
PROKKA_00008_igbot,0,0,2,0,0,0
PROKKA_00008_sense,355,218,485,203,193,125
PROKKA_00008_antis,7,6,8,7,8,3
PROKKA_00009_igtop,0,0,0,0,0,0
PROKKA_00009_igbot,0,0,0,0,0,0
PROKKA_00009_sense,305,186,543,244,142,107
PROKKA_00009_antis,4,2,7,6,1,2
PROKKA_00010_igtop,10,9,7,7,11,2
PROKKA_00010_igbot,0,0,0,0,0,0
PROKKA_00010_sense,21,19,51,13,23,10
PROKKA_00010_antis,2,1,3,2,0,1
PROKKA_00011_igtop,72,130,65,90,91,38
PROKKA_00011_igbot,0,1,0,0,0,0
PROKKA_00011_sense,549,548,907,507,443,185
PROKKA_00011_antis,23,13,30,34,22,11
PROKKA_00012_igtop,95,102,137,270,118,48
PROKKA_00012_igbot,0,1,0,2,1,0
PROKKA_00012_sense,61,75,117,68,60,21
PROKKA_00012_antis,6,7,1,7,2,3
PROKKA_00013_igtop,15,3,35,21,9,7
PROKKA_00013_igbot,1,0,0,0,0,0
PROKKA_00013_sense,77,38,129,49,26,25
PROKKA_00013_antis,14,13,16,10,16,3
PROKKA_00014_igtop,6,2,4,8,4,2
PROKKA_00014_igbot,0,0,0,0,0,0
PROKKA_00014_sense,9,5,7,7,6,2
PROKKA_00014_antis,18,6,25,10,2,7
PROKKA_00015_igtop,9,4,10,1,3,5
PROKKA_00015_igbot,23,24,41,13,12,4
