locus	log2FoldChange_25C	pvalue_25C	log2FoldChange_29C	pvalue_29C	log2FoldChange_33C	pvalue_33C	log2FoldChange_37C	pvalue_37C	log2FoldChange_41C	pvalue_41C	gene	product	locusNumber
PROKKA_00011_igtop	NA	NA	NA	NA	1.24743949418404	0.000376088453692564	NA	NA	NA	NA	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00044_igtop	NA	NA	NA	NA	1.3920232868449	0.000287409055355426	NA	NA	NA	NA	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00079_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.09442168490292	0.000934006964073718	ppkA_1	"serine/threonine protein kinase PpkA"	PROKKA_00079
PROKKA_00087_igtop	NA	NA	NA	NA	1.23639591645039	0.000168550618281059	NA	NA	NA	NA	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00087_sense	NA	NA	-1.09134966541248	1.70048645050898e-05	NA	NA	0.920066606517393	0.00023076932168307	1.20330441147476	1.25153840462338e-05	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	NA	NA	-1.14495761282381	1.16523441780589e-06	NA	NA	1.00685049280792	0.000182916720029614	NA	NA	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	NA	NA	-0.914202928206284	4.92216864296804e-06	NA	NA	1.11443220902116	7.7974810074509e-06	1.00949684232515	0.000401534902388973	tssC1	"TssC1"	PROKKA_00089
PROKKA_00090_igtop	NA	NA	NA	NA	NA	NA	1.46963699621666	7.54508039912569e-05	NA	NA	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00090_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.31729236031387	7.82528308015431e-05	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00095_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.03267258579614	0.000928668993357913	clpV1_1	"ClpV1"	PROKKA_00095
PROKKA_00264_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.02122182293179	0.000987624678890768	n/a	"ISPsy11 transposase OrfA"	PROKKA_00264
PROKKA_00284_sense	NA	NA	-0.894875776942856	0.00017107173591349	NA	NA	NA	NA	NA	NA	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00590_igbot	NA	NA	NA	NA	NA	NA	NA	NA	-1.65315399813902	5.81139009530178e-05	n/a	"NERD domain-containing protein"	PROKKA_00590
PROKKA_00633_igtop	NA	NA	NA	NA	-2.56599642584281	0.000505476445767018	NA	NA	NA	NA	n/a	"putative holin"	PROKKA_00633
PROKKA_00634_sense	NA	NA	-0.962492263885304	0.000190409825168511	-1.2839044431914	0.00039949145390797	NA	NA	NA	NA	n/a	"phage protein"	PROKKA_00634
PROKKA_00637_sense	NA	NA	-1.20266174527117	3.87417484644965e-06	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	NA	NA	-1.12951275824064	0.000341274138060781	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	NA	NA	-0.924606293392484	2.09637040792157e-05	-1.16148215456661	6.84434922966668e-05	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	NA	NA	-0.894332286161313	0.000122620333388621	NA	NA	NA	NA	NA	NA	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	NA	NA	-0.866266118699799	9.12810198210368e-05	-1.26280726545555	3.3492453521579e-05	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	NA	NA	-0.957920383897477	6.67969647411284e-05	-1.32678563874214	0.000129112409860249	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00644_igtop	NA	NA	-0.954981712298061	8.90291442297232e-05	NA	NA	NA	NA	NA	NA	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_sense	NA	NA	-1.18469991102688	2.95089525196951e-08	-1.19818365187139	0.000111171331878085	NA	NA	NA	NA	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	NA	NA	-1.24194859642577	7.44178190808015e-05	NA	NA	NA	NA	NA	NA	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00647_sense	NA	NA	-0.969348293577237	3.89674142171586e-05	NA	NA	NA	NA	NA	NA	n/a	"putative phage late control gene D protein"	PROKKA_00647
PROKKA_00675_igtop	NA	NA	-0.964037370902919	0.000164191789543508	NA	NA	NA	NA	NA	NA	n/a	"5S ribosomal RNA"	PROKKA_00675
PROKKA_00679_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.41868104112608	0.000645393721237093	n/a	"tRNA-Tyr"	PROKKA_00679
PROKKA_00684_sense	NA	NA	NA	NA	NA	NA	1.34981142031624	8.95882013755457e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_00684
PROKKA_00685_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.74312967698648	0.000803909587241538	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00696_antis	NA	NA	1.47075751275634	0.000205310787184272	NA	NA	NA	NA	NA	NA	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00697_antis	NA	NA	NA	NA	NA	NA	1.63137517359764	1.41459699920352e-05	NA	NA	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00698_igtop	NA	NA	NA	NA	NA	NA	NA	NA	0.869567550054017	0.000569862736284223	tufB_2	"elongation factor Tu"	PROKKA_00698
PROKKA_00699_antis	NA	NA	1.57586981173104	2.42530019527245e-07	NA	NA	NA	NA	NA	NA	rpsJ	"30S ribosomal protein S10"	PROKKA_00699
PROKKA_00700_antis	NA	NA	NA	NA	NA	NA	1.52758079467137	4.71899571766506e-05	NA	NA	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00705_antis	NA	NA	NA	NA	NA	NA	1.62588101821744	0.000228295057850218	NA	NA	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00720_antis	NA	NA	NA	NA	NA	NA	1.40801557382011	0.000529389223468944	NA	NA	secY	"secretion protein SecY"	PROKKA_00720
PROKKA_00723_sense	NA	NA	NA	NA	NA	NA	NA	NA	0.842582668214471	0.000545958068645499	rpsK	"30S ribosomal protein S11"	PROKKA_00723
PROKKA_00726_igtop	NA	NA	NA	NA	NA	NA	NA	NA	0.987243207124806	0.000423673325135713	rplQ	"50S ribosomal protein L17"	PROKKA_00726
PROKKA_00729_sense	NA	NA	NA	NA	NA	NA	NA	NA	0.87300855405265	0.000421918883799049	uvrA	"excinuclease ABC subunit A"	PROKKA_00729
PROKKA_00821_sense	NA	NA	NA	NA	2.05966972932915	2.49803739914973e-11	1.07603775185262	0.000389920043182599	NA	NA	n/a	"hypothetical protein"	PROKKA_00821
PROKKA_00822_igbot	NA	NA	NA	NA	2.087574031386	2.22317793674752e-09	NA	NA	NA	NA	n/a	"putative cholesterol oxidase"	PROKKA_00822
PROKKA_00823_sense	NA	NA	NA	NA	1.86409039498113	8.2514751898682e-07	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00823
PROKKA_00833_sense	NA	NA	NA	NA	-2.58537886034771	0.000136800972261782	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00833
PROKKA_00834_sense	NA	NA	NA	NA	-1.5317964023376	0.000186056904575815	NA	NA	NA	NA	n/a	"putative SPFH domain protein"	PROKKA_00834
PROKKA_00838_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.03553463736463	2.81156482415738e-05	prtR_2	"transcriptional regulator PrtR"	PROKKA_00838
PROKKA_00852_sense	NA	NA	NA	NA	-3.44881464181908	2.0461818844329e-10	NA	NA	NA	NA	n/a	"Holin phage lambda"	PROKKA_00852
PROKKA_00853_sense	NA	NA	NA	NA	-2.6863347458681	2.80217469711903e-08	NA	NA	NA	NA	n/a	"putative chitinase; lytic protein"	PROKKA_00853
PROKKA_00854_sense	NA	NA	NA	NA	-3.28785319739643	1.67541323000752e-08	NA	NA	NA	NA	n/a	"phage lysis regulatory protein LysB family"	PROKKA_00854
PROKKA_00855_igtop	NA	NA	NA	NA	-2.79627364399083	0.000208486545557327	NA	NA	NA	NA	n/a	"HNH endonuclease"	PROKKA_00855
PROKKA_00855_sense	NA	NA	NA	NA	-2.32466260218764	1.39794970891391e-12	NA	NA	NA	NA	n/a	"HNH endonuclease"	PROKKA_00855
PROKKA_00856_sense	NA	NA	NA	NA	-1.98292007408199	1.48925310617131e-08	NA	NA	NA	NA	n/a	"phage terminase small subunit"	PROKKA_00856
PROKKA_00857_sense	NA	NA	NA	NA	-2.26592852276001	1.39098298736295e-14	NA	NA	NA	NA	n/a	"terminase"	PROKKA_00857
PROKKA_00858_sense	NA	NA	NA	NA	-1.81987969248366	9.99594671355975e-09	NA	NA	NA	NA	n/a	"HK97 family phage portal protein"	PROKKA_00858
PROKKA_00859_sense	NA	NA	NA	NA	-2.11064309835371	2.12062809988687e-11	NA	NA	NA	NA	n/a	"HK97 family phage prohead protease"	PROKKA_00859
PROKKA_00860_igtop	NA	NA	NA	NA	-2.91960236177126	0.000135628821044058	NA	NA	NA	NA	n/a	"HK97 family phage major capsid protein"	PROKKA_00860
PROKKA_00860_sense	NA	NA	NA	NA	-2.65852124441472	3.66530864658825e-16	NA	NA	NA	NA	n/a	"HK97 family phage major capsid protein"	PROKKA_00860
PROKKA_00861_sense	NA	NA	NA	NA	-2.55030454886854	5.53397419064273e-08	NA	NA	NA	NA	n/a	"HeH/LEM domain protein"	PROKKA_00861
PROKKA_00862_sense	NA	NA	NA	NA	-1.77532660434581	4.86694081645765e-05	NA	NA	NA	NA	n/a	"phage protein"	PROKKA_00862
