locus	log2FoldChange_25C	FoldChange_25	pvalue_25C	padj_25C	log2FoldChange_29C	FoldChange_29	pvalue_29C	padj_29C	log2FoldChange_33C	FoldChange_33	pvalue_33C	padj_33C	log2FoldChange_37C	FoldChange_37	pvalue_37C	padj_37C	log2FoldChange_41C	FoldChange_41	pvalue_41C	padj_41C	gene	product	locusNumber
PROKKA_00079_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09442168490292	2.13527470368291	0.000934006964073718	0.0356724930288516	ppkA_1	"serine/threonine protein kinase PpkA"	PROKKA_00079
PROKKA_00087_sense	NA	NA	NA	NA	-1.09134966541248	-2.13073276904691	1.70048645050898e-05	0.00512028616580044	NA	NA	NA	NA	0.920066606517393	1.89220265087317	0.00023076932168307	0.02292565412695	1.20330441147476	2.30266479817489	1.25153840462338e-05	0.000874353750650292	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	NA	NA	NA	NA	-1.14495761282381	-2.21139633364183	1.16523441780589e-06	0.000614005711032589	NA	NA	NA	NA	1.00685049280792	2.00951938258121	0.000182916720029614	0.0194608559026101	NA	NA	NA	NA	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	NA	NA	NA	NA	-0.914202928206284	-1.88452760515114	4.92216864296804e-06	0.00180429581864624	NA	NA	NA	NA	1.11443220902116	2.16509782157276	7.7974810074509e-06	0.00170526577699058	1.00949684232515	2.0132088462654	0.000401534902388973	0.0183469099238488	tssC1	"TssC1"	PROKKA_00089
PROKKA_00090_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31729236031387	2.49197977650403	7.82528308015431e-05	0.00441190375296887	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00095_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03267258579614	2.04581059777343	0.000928668993357913	0.0356705090237595	clpV1_1	"ClpV1"	PROKKA_00095
PROKKA_00264_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.02122182293179	-2.02963713793728	0.000987624678890768	0.0373587617913653	n/a	"ISPsy11 transposase OrfA"	PROKKA_00264
PROKKA_00284_sense	NA	NA	NA	NA	-0.894875776942856	-1.85944977066754	0.00017107173591349	0.0253036106225725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00634_sense	NA	NA	NA	NA	-0.962492263885304	-1.94867333307046	0.000190409825168511	0.0272092412880629	-1.2839044431914	-2.43497075186136	0.00039949145390797	0.0344342145880675	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"phage protein"	PROKKA_00634
PROKKA_00637_sense	NA	NA	NA	NA	-1.20266174527117	-2.30163927632622	3.87417484644965e-06	0.00155538895859129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	NA	NA	NA	NA	-1.12951275824064	-2.18784837515002	0.000341274138060781	0.043595185727128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	NA	NA	NA	NA	-0.924606293392484	-1.89816616807306	2.09637040792157e-05	0.00589149963639559	-1.16148215456661	-2.23687114848569	6.84434922966668e-05	0.00879561097368801	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	NA	NA	NA	NA	-0.894332286161313	-1.85874941234553	0.000122620333388621	0.0198810005922973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	NA	NA	NA	NA	-0.866266118699799	-1.82293878850659	9.12810198210368e-05	0.0160331307939825	-1.26280726545555	-2.39962216963326	3.3492453521579e-05	0.00493176378105251	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	NA	NA	NA	NA	-0.957920383897477	-1.94250778951787	6.67969647411284e-05	0.0127992093121012	-1.32678563874214	-2.50843166878706	0.000129112409860249	0.0142588517639413	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00644_sense	NA	NA	NA	NA	-1.18469991102688	-2.27316106654839	2.95089525196951e-08	2.764333096595e-05	-1.19818365187139	-2.29450611538968	0.000111171331878085	0.0133179487070221	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	NA	NA	NA	NA	-1.24194859642577	-2.36517772713087	7.44178190808015e-05	0.0139425918371164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00647_sense	NA	NA	NA	NA	-0.969348293577237	-1.95795593093887	3.89674142171586e-05	0.00842395562217601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative phage late control gene D protein"	PROKKA_00647
