locus	FoldChange_25C	FoldChange_29C	FoldChange_33C	FoldChange_37C	FoldChange_41C
PROKKA_01664_sense	NA	NA	NA	NA	-2.805132899
PROKKA_01665_sense	NA	NA	NA	-1.850644121	NA
PROKKA_04336_sense	NA	NA	NA	-2.169327746	-7.08391984
PROKKA_04337_sense	NA	NA	NA	NA	-12.56005553
PROKKA_04339_sense	NA	NA	NA	NA	-2.782972136
PROKKA_04340_sense	NA	NA	NA	NA	-6.666574252
PROKKA_04341_sense	NA	NA	NA	-1.822915654	-12.42835154
PROKKA_04356_sense	NA	NA	NA	NA	-2.441777339
PROKKA_04357_sense	NA	NA	NA	NA	-2.095768547
PROKKA_04358_sense	NA	NA	NA	NA	-2.007296866
PROKKA_04362_sense	NA	NA	NA	NA	-2.785976993
PROKKA_04363_sense	NA	NA	NA	NA	-2.54919308
PROKKA_04364_sense	NA	NA	NA	NA	-2.647904745
PROKKA_04365_sense	NA	NA	NA	NA	-2.333694778
