locus	baseMean	log2FoldChange_41C	lfcSE	stat	pvalue_41C	padj_Temp	gene_name	gene_discription	raw_locus
PROKKA_00042_sense	NA	NA	NA	1.27494007668995	1.16769177643062e-16	1.08909230846873e-14	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_antis	NA	NA	NA	-0.794912383364906	0.000133873436458278	0.00167081753645915	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igbot	NA	NA	NA	0.728999008184253	6.53190120713764e-06	0.000123977485931536	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igtop	NA	NA	NA	1.00912199742102	8.9387693013809e-10	4.21385244131402e-08	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00044_igtop	NA	NA	NA	0.519831069038492	0.00640342504007923	0.0402487744910488	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00045_igtop	NA	NA	NA	0.674673325702997	3.0804482627198e-05	0.000472081417505857	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00051_sense	NA	NA	NA	-0.684871164544024	0.00461824727802339	0.0311256230688227	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00072_sense	NA	NA	NA	0.514302259998629	0.0030885046676658	0.0227997357339006	prlC	"oligopeptidase A"	PROKKA_00072
PROKKA_00086_sense	NA	NA	NA	0.916637668024661	5.85686253875449e-05	0.000811540346024863	fha1	"Fha1"	PROKKA_00086
PROKKA_00087_igtop	1.98461663483136	6.8898663311769e-12	1.94903718714639e-09	1.06552245088378	5.67021169206566e-06	0.000109784411198611	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00087_sense	1.60120013338841	3.18063162153126e-06	0.000278494590194791	0.694028988959163	0.001616364584327	0.0135070774609368	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	1.297523908839	0.000392306373399049	0.0122263278658899	NA	NA	NA	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	1.72220183492842	1.01539636837999e-07	1.28762763610945e-05	0.5742538377826	0.00157427092871353	0.0132575010054963	tssC1	"TssC1"	PROKKA_00089
PROKKA_00090_igtop	1.40443535644272	0.000494695418908151	0.01440105305395	NA	NA	NA	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00090_sense	1.25956553886647	0.000268891606078772	0.00964730615955789	NA	NA	NA	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00092_sense	1.8848799846159	0.000570099703079472	0.0162307597231846	NA	NA	NA	tssE1	"TssE1"	PROKKA_00092
PROKKA_00093_sense	1.87791345095832	0.000724970900169086	0.0193217802225275	NA	NA	NA	tssF1_1	"TssF1"	PROKKA_00093
PROKKA_00094_sense	2.45128222493641	2.29724429708404e-08	3.37924636101063e-06	1.45433589662999	0.000109736200630256	0.00140184359980389	tssG1_1	"TssG1"	PROKKA_00094
PROKKA_00095_sense	1.44822352448261	5.27284998535196e-05	0.00263821847906555	NA	NA	NA	clpV1_1	"ClpV1"	PROKKA_00095
PROKKA_00096_sense	1.64358980185452	1.37266099157055e-05	0.000869511327426223	0.859705889363289	0.00684729073277534	0.0422428163699099	vgrG1_1	"VgrG1"	PROKKA_00096
PROKKA_00098_sense	NA	NA	NA	0.746892329883935	0.000591339716123849	0.00590930955951414	n/a	"PAAR motif-containing protein"	PROKKA_00098
PROKKA_00104_antis	NA	NA	NA	1.35409593414399	0.002598433636034	0.0199812175168075	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00104_sense	1.2514014219217	0.000379311716246766	0.0119223832179272	1.18710757032473	3.51645798942663e-07	9.52168862178803e-06	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00133_sense	NA	NA	NA	-0.54700244143246	0.00350202058390157	0.0252678891946649	n/a	"putative alkylphosphonate uptake protein"	PROKKA_00133
PROKKA_00142_antis	NA	NA	NA	1.39460448743337	0.000816731994086609	0.00773802480566185	n/a	"ABC transporter permease"	PROKKA_00142
PROKKA_00166_igbot	NA	NA	NA	1.76591004816388	0.000195217217969179	0.00232918039706281	opdC_1	"histidine porin OpdC"	PROKKA_00166
PROKKA_00169_igtop	NA	NA	NA	-0.456713495049403	0.00404001608904875	0.0281458130755259	n/a	"putative outer membrane protein"	PROKKA_00169
PROKKA_00205_sense	NA	NA	NA	2.1433781382395	6.8569909163155e-08	2.21106093710486e-06	n/a	"hypothetical protein"	PROKKA_00205
PROKKA_00206_igtop	2.6082434291796	5.58311665805986e-06	0.000414786091111417	2.12749179736602	1.42835673681723e-07	4.22852093349921e-06	n/a	"putative esterase"	PROKKA_00206
PROKKA_00229_sense	NA	NA	NA	1.62577294108055	0.000310892798690731	0.00345286060927452	dapA_1	"dihydrodipicolinate synthase"	PROKKA_00229
PROKKA_00266_antis	NA	NA	NA	0.585498520373137	0.00283689202507819	0.0214161892302247	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00266_sense	NA	NA	NA	0.868558391559614	0.000205936182958486	0.00242044776555814	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00270_igbot	-1.14781674550324	0.000957190965468144	0.0237287327327807	-0.763721350279813	0.000159675401474814	0.00195624919829455	n/a	"tRNA-Arg"	PROKKA_00270
PROKKA_00271_sense	-1.05089214446864	0.00236903551561651	0.0435606405433986	-1.11267319291563	1.57304084401305e-05	0.00026494284040717	gabD_1	"succinate-semialdehyde dehydrogenase"	PROKKA_00271
PROKKA_00273_sense	NA	NA	NA	-1.22428708169489	2.43424530749089e-05	0.000389569073748635	gabT	"4-aminobutyrate aminotransferase"	PROKKA_00273
PROKKA_00274_igtop	NA	NA	NA	-1.26380044786286	0.00248968700801118	0.0192623255920608	chpA_2	"component of chemotactic signal transduction system"	PROKKA_00274
PROKKA_00293_igtop	NA	NA	NA	-1.33774062473257	8.06665799110391e-07	1.96545481502346e-05	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00293_sense	NA	NA	NA	-0.642914424091546	0.00011305068227279	0.00143994363881671	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00298_igbot	NA	NA	NA	1.21298054115455	0.000117304796535124	0.00148540409510316	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00298_igtop	NA	NA	NA	-0.569064561808809	0.00350794684647408	0.0252723678956115	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00298_sense	NA	NA	NA	-0.989522632125721	4.12013332594921e-11	2.3825357646189e-09	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00300_sense	NA	NA	NA	1.24380671397598	6.51660053467828e-05	0.000887362528065925	aguB_1	"N-carbamoylputrescine amidohydrolase"	PROKKA_00300
PROKKA_00303_sense	NA	NA	NA	-0.483711338797967	0.00678010464634096	0.0420075912159725	spuI	"Glutamylpolyamine synthetase"	PROKKA_00303
PROKKA_00305_sense	NA	NA	NA	-0.557979679755304	0.0066439028342574	0.0414598656002509	spuA	"putative glutamine amidotransferase"	PROKKA_00305
PROKKA_00306_sense	NA	NA	NA	-0.484042173712842	0.00666893654296572	0.0415861650421888	spuB	"Glutamylpolyamine synthetase"	PROKKA_00306
