locus	CF39 Log2FoldChange_25vs41	CF39 padj_25vs41	CF39 Log2FoldChange_29vs41	CF39 padj_29vs41	CF39 Log2FoldChange_33vs41	CF39 padj_33vs41	CF39 Log2FoldChange_37vs41	CF39 padj_37vs41	gene	product	locusNumber
PROKKA_00001_sense	NA	NA	-0.626665498876888	0.0376680942154211	NA	NA	NA	NA	dnaA_1	"chromosomal replication initiator protein DnaA"	PROKKA_00001
PROKKA_00002_igtop	-1.3001353348969	0.0417664854366079	NA	NA	NA	NA	NA	NA	dnaN_1	"DNA polymerase III beta chain"	PROKKA_00002
PROKKA_00002_sense	-0.631936923978133	0.0247806036692401	NA	NA	NA	NA	NA	NA	dnaN_1	"DNA polymerase III beta chain"	PROKKA_00002
PROKKA_00003_sense	NA	NA	-0.737710502320673	0.0160554957883489	NA	NA	NA	NA	recF	"RecF protein"	PROKKA_00003
PROKKA_00008_sense	NA	NA	-0.939252337588392	0.00113569399406349	NA	NA	NA	NA	glyS	"glycyl-tRNA synthetase beta chain"	PROKKA_00008
PROKKA_00009_sense	-0.68907613986534	0.0327092862960278	NA	NA	NA	NA	NA	NA	glyQ	"glycyl-tRNA synthetase alpha chain"	PROKKA_00009
PROKKA_00011_igtop	NA	NA	NA	NA	NA	NA	-1.16523630949564	0.0176908132807016	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00011_sense	-1.14854048039135	8.45146341629344e-06	-0.707442432333969	0.0188133943314291	-1.01113803795918	0.00909057999956394	NA	NA	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00012_igtop	-0.954356311330339	0.019921402858633	NA	NA	NA	NA	NA	NA	n/a	"type IV pilus assembly PilZ"	PROKKA_00012
PROKKA_00013_igtop	-2.23593138775002	0.0140729285629818	NA	NA	NA	NA	NA	NA	yhhQ	"Inner membrane protein YhhQ"	PROKKA_00013
PROKKA_00013_sense	-1.36631414746891	0.00128284994485802	NA	NA	NA	NA	NA	NA	yhhQ	"Inner membrane protein YhhQ"	PROKKA_00013
PROKKA_00014_antis	-2.18520015907754	0.0135332952202323	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00014
PROKKA_00017_sense	-1.09486324059259	0.0118845789612454	-1.05417099716282	0.0285998725336405	NA	NA	NA	NA	n/a	"putative tRNA and rRNA cytosine-C5-methylases"	PROKKA_00017
PROKKA_00018_sense	-0.860519323636035	0.0482620454619293	NA	NA	NA	NA	NA	NA	fmt	"methionyl-tRNA formyltransferase"	PROKKA_00018
PROKKA_00022_igtop	-1.16398566576033	0.00561550886354694	NA	NA	NA	NA	NA	NA	n/a	"putative translation factor"	PROKKA_00022
PROKKA_00026_igtop	1.55719490589695	0.0197579487087336	1.80751573236447	0.0136503440368943	NA	NA	NA	NA	plcB	"phospholipase C  PlcB"	PROKKA_00026
PROKKA_00042_sense	1.07686439091352	6.34839085605309e-05	NA	NA	NA	NA	NA	NA	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_antis	-0.906847843942484	0.00741873296320363	NA	NA	NA	NA	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igbot	0.905764669812753	0.0059876770579797	NA	NA	NA	NA	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igtop	0.910460194899114	0.00231310672100277	NA	NA	NA	NA	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00044_igbot	-1.47725812328039	0.000310484677764468	-1.26306491941487	0.00418874513732678	NA	NA	-1.12090027129337	0.0287405646147044	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00045_igtop	0.907633188755206	0.00077781390488966	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00050_igtop	-1.63663540856924	1.10805941042418e-06	-1.30427055672537	0.000475460460201256	-1.546408726615	0.000809257384217977	-1.39250036453661	0.000712360564610671	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00050_sense	-1.20491732360568	1.46677625165604e-05	-1.56993100858839	1.87491804635058e-08	-1.05568922351481	0.0165227158700643	-0.813736624649347	0.0275830010143794	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00051_igtop	-1.71989325359607	0.0108212606515473	-1.92233596814117	0.00750941424453411	NA	NA	NA	NA	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00051_sense	-2.03256358694557	2.79811264861126e-07	-1.60142895157256	0.00066428404636026	NA	NA	-1.31515651829163	0.0175032223904316	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00052_sense	-1.95678488391644	8.06059626993541e-05	-2.09149570442412	3.38371129178882e-05	-1.84101042005267	0.00387137087021689	NA	NA	n/a	"putative lipoprotein"	PROKKA_00052
PROKKA_00065_sense	-1.18430150705274	0.0235962232799572	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00065
PROKKA_00076_igbot	NA	NA	-0.698366287386611	0.0394451175242839	NA	NA	NA	NA	tagR1	"TagR1"	PROKKA_00076
PROKKA_00086_sense	0.8874691182916	0.018554465578235	NA	NA	NA	NA	NA	NA	fha1	"Fha1"	PROKKA_00086
PROKKA_00087_igtop	2.09163593262889	3.87003828465864e-13	1.1589289487832	8.81402039515207e-05	1.53120742063757	4.25862587092994e-05	1.0561060688863	0.00352782295547131	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00087_sense	0.848943462352003	0.0144581158569001	NA	NA	NA	NA	NA	NA	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	NA	NA	-0.761225088583229	0.0247458718147637	NA	NA	NA	NA	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00090_sense	NA	NA	-0.91399360624585	0.0329495911215668	-1.22697669190222	0.0136769589897876	NA	NA	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00094_sense	1.34791420210737	0.0106449748283114	NA	NA	NA	NA	NA	NA	tssG1_1	"TssG1"	PROKKA_00094
PROKKA_00100_igtop	1.57914315060305	0.00371604193615978	1.35422729136509	0.0231982375106091	NA	NA	1.93582736502011	0.00298913540139031	vgrG4_1	"VgrG4"	PROKKA_00100
