locus	baseMean	log2FoldChange_41C	lfcSE	stat	pvalue_41C	padj_Temp	gene_name	gene_discription	raw_locus
PROKKA_00079_sense	63.8368080682266	1.09442168490292	0.330672364413551	3.30968596920363	0.000934006964073718	0.0356724930288516	ppkA_1	serine/threonine protein kinase PpkA	PROKKA_00079
PROKKA_00087_sense	482.497389344023	1.20330441147476	0.275455865071158	4.36841092914798	1.25153840462338e-05	0.000874353750650292	tssA1_1	TssA1	PROKKA_00087
PROKKA_00089_sense	644.851527144112	1.00949684232515	0.285243300178792	3.53907293069598	0.000401534902388973	0.0183469099238488	tssC1	TssC1	PROKKA_00089
PROKKA_00090_sense	89.3399379203324	1.31729236031387	0.333518003731011	3.94968890907697	7.82528308015431e-05	0.00441190375296887	hcp1_1	Hcp1	PROKKA_00090
PROKKA_00095_sense	93.8612575729295	1.03267258579614	0.311864129281875	3.31129004215413	0.000928668993357913	0.0356705090237595	clpV1_1	ClpV1	PROKKA_00095
PROKKA_00264_sense	344.246437266206	-1.02122182293179	0.310022153300121	-3.29402854622194	0.000987624678890768	0.0373587617913653	n/a	ISPsy11 transposase OrfA	PROKKA_00264
PROKKA_00590_igbot	65.0803669516926	-1.65315399813902	0.411197432720719	-4.02034124386624	5.81139009530178e-05	0.0033349768993336	n/a	NERD domain-containing protein	PROKKA_00590
PROKKA_00679_igtop	12657.5345356595	-1.41868104112608	0.415818025712667	-3.41178340860673	0.000645393721237093	0.0268200037346845	n/a	tRNA-Tyr	PROKKA_00679
PROKKA_00685_antis	73.1473977204374	-1.74312967698648	0.520112844528052	-3.35144516295918	0.000803909587241538	0.0315060663845352	nusG	transcription antitermination protein NusG	PROKKA_00685
PROKKA_00698_igtop	811.858570873013	0.869567550054017	0.252372848064599	3.44556697252724	0.000569862736284223	0.0244179850689608	tufB_2	elongation factor Tu	PROKKA_00698
PROKKA_00723_sense	1403.02851385241	0.842582668214471	0.243723049791307	3.45713164567714	0.000545958068645499	0.023720088357107	rpsK	30S ribosomal protein S11	PROKKA_00723
PROKKA_00726_igtop	678.823764362416	0.987243207124806	0.280078462777098	3.52488083994701	0.000423673325135713	0.0189983001285275	rplQ	50S ribosomal protein L17	PROKKA_00726
PROKKA_00729_sense	415.634818209059	0.87300855405265	0.247593169095899	3.5259799664122	0.000421918883799049	0.0189983001285275	uvrA	excinuclease ABC subunit A	PROKKA_00729
PROKKA_00838_antis	561.288323740608	-1.03553463736463	0.247249607343226	-4.18821549806196	2.81156482415738e-05	0.00177165336403276	prtR_2	transcriptional regulator PrtR	PROKKA_00838
PROKKA_01281_sense	58.8287631578482	-1.99847998258793	0.468444586324012	-4.26620360429489	1.98827340833636e-05	0.0012951989141737	n/a	bacteriophage N4 adsorption protein B	PROKKA_01281
PROKKA_01291_igtop	164.922437076229	-1.11424796071102	0.292239754038727	-3.81278708769844	0.000137408476702032	0.00731908908223364	n/a	hypothetical protein	PROKKA_01291
PROKKA_01291_sense	1154.51002778358	-1.31882736151682	0.251365247162668	-5.24665750895691	1.548834381051e-07	1.46395218310909e-05	n/a	hypothetical protein	PROKKA_01291
PROKKA_01301_igtop	23.4422812590152	-1.80335630498351	0.496818166755772	-3.62981151989559	0.000283628246599718	0.0137361683885097	n/a	hypothetical protein	PROKKA_01301
PROKKA_01301_sense	90.3234463783366	-2.36938525801358	0.407770552200779	-5.81058451922475	6.22550927509625e-09	7.06119234367093e-07	n/a	hypothetical protein	PROKKA_01301
PROKKA_01448_antis	490.161575175812	-1.24833605440201	0.344026123681753	-3.62860831916592	0.000284953187190326	0.0137361683885097	n/a	hypothetical protein	PROKKA_01448
PROKKA_01500_sense	2261.66658840395	-1.10884810515093	0.310308725145176	-3.57337069601303	0.000352415305036251	0.0164871164699508	bfrB_1	bacterioferritin	PROKKA_01500
PROKKA_01505_sense	15.408526264358	-4.07786886567589	0.794087867498742	-5.13528670135784	2.81714227612083e-07	2.49174942055789e-05	yfiB_1	YfiB	PROKKA_01505
PROKKA_01662_sense	47.0179119337272	-1.3841319009271	0.387472974461206	-3.57220242999342	0.000353991609716815	0.0164871164699508	n/a	putative glycosyltransferase	PROKKA_01662
PROKKA_01664_igbot	45.4289793776911	-1.41789647047681	0.375841845848268	-3.77258808762139	0.000161562898011859	0.00841961026882342	flgM	FlgM	PROKKA_01664
PROKKA_01664_sense	412.35376645435	-1.48806912316208	0.264087547092908	-5.63475688097693	1.75305470496019e-08	1.85727477038695e-06	flgM	FlgM	PROKKA_01664
PROKKA_01665_antis	97.7107143971876	-1.67071954525531	0.322149640532447	-5.18615989294278	2.14674518124621e-07	1.95252549928252e-05	flgA	flagellar basal body P-ring biosynthesis protein FlgA	PROKKA_01665
PROKKA_01666_igtop	54.7307347183543	-1.48881355572419	0.413436858637114	-3.60106634089674	0.000316914690073426	0.0151256164702866	chpA_5	component of chemotactic signal transduction system	PROKKA_01666
PROKKA_01666_sense	373.530710196861	-1.83525135327033	0.255242809704517	-7.19021764176204	6.46881228500261e-13	1.15492257851315e-10	chpA_5	component of chemotactic signal transduction system	PROKKA_01666
