locus	CF39 Log2FoldChange_25vs29	CF39 padj_25vs29	CF39 Log2FoldChange_25vs33	CF39 padj_25vs33	CF39 Log2FoldChange_25vs37	CF39 padj_25vs37	CF39 Log2FoldChange_25vs41	CF39 padj_25vs41	gene	product	locusNumber
PROKKA_00002_igtop	NA	NA	NA	NA	NA	NA	-1.3001353348969	0.0417664854366079	dnaN_1	"DNA polymerase III beta chain"	PROKKA_00002
PROKKA_00002_sense	NA	NA	NA	NA	NA	NA	-0.631936923978133	0.0247806036692401	dnaN_1	"DNA polymerase III beta chain"	PROKKA_00002
PROKKA_00009_sense	NA	NA	NA	NA	NA	NA	-0.68907613986534	0.0327092862960278	glyQ	"glycyl-tRNA synthetase alpha chain"	PROKKA_00009
PROKKA_00011_sense	-0.435673365357273	0.0393805517235095	NA	NA	NA	NA	-1.14854048039135	8.45146341629344e-06	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00012_igtop	NA	NA	NA	NA	NA	NA	-0.954356311330339	0.019921402858633	n/a	"type IV pilus assembly PilZ"	PROKKA_00012
PROKKA_00013_igtop	NA	NA	NA	NA	NA	NA	-2.23593138775002	0.0140729285629818	yhhQ	"Inner membrane protein YhhQ"	PROKKA_00013
PROKKA_00013_sense	NA	NA	NA	NA	NA	NA	-1.36631414746891	0.00128284994485802	yhhQ	"Inner membrane protein YhhQ"	PROKKA_00013
PROKKA_00014_antis	NA	NA	NA	NA	NA	NA	-2.18520015907754	0.0135332952202323	n/a	"hypothetical protein"	PROKKA_00014
PROKKA_00017_sense	NA	NA	NA	NA	NA	NA	-1.09486324059259	0.0118845789612454	n/a	"putative tRNA and rRNA cytosine-C5-methylases"	PROKKA_00017
PROKKA_00018_sense	NA	NA	NA	NA	NA	NA	-0.860519323636035	0.0482620454619293	fmt	"methionyl-tRNA formyltransferase"	PROKKA_00018
PROKKA_00020_igbot	-0.670897829190407	0.00474189866574658	NA	NA	NA	NA	NA	NA	n/a	"putative lysin domain protein"	PROKKA_00020
PROKKA_00022_igtop	-0.754984256576409	0.0252640988200784	NA	NA	NA	NA	-1.16398566576033	0.00561550886354694	n/a	"putative translation factor"	PROKKA_00022
PROKKA_00026_igtop	NA	NA	NA	NA	NA	NA	1.55719490589695	0.0197579487087336	plcB	"phospholipase C  PlcB"	PROKKA_00026
PROKKA_00037_sense	0.662544521229585	0.0370952044499064	NA	NA	NA	NA	NA	NA	trpB	"tryptophan synthase beta chain"	PROKKA_00037
PROKKA_00040_igtop	-0.576215409701966	0.000781687373500999	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00040
PROKKA_00042_sense	0.698582072700937	0.00010063301395182	0.972921871903673	0.000786467502323256	1.27494007668995	1.08909230846873e-14	1.07686439091352	6.34839085605309e-05	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_antis	NA	NA	NA	NA	-0.794912383364906	0.00167081753645915	-0.906847843942484	0.00741873296320363	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igbot	NA	NA	NA	NA	0.728999008184253	0.000123977485931536	0.905764669812753	0.0059876770579797	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igtop	0.537183064030428	0.00687545686601995	NA	NA	1.00912199742102	4.21385244131402e-08	0.910460194899114	0.00231310672100277	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00044_igbot	NA	NA	NA	NA	NA	NA	-1.47725812328039	0.000310484677764468	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00044_igtop	NA	NA	NA	NA	0.519831069038492	0.0402487744910488	NA	NA	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00045_igbot	0.64576043520024	0.0287337331854628	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00045_igtop	0.799047580480819	0.000149418162630718	NA	NA	0.674673325702997	0.000472081417505857	0.907633188755206	0.00077781390488966	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00050_igtop	NA	NA	NA	NA	NA	NA	-1.63663540856924	1.10805941042418e-06	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00050_sense	NA	NA	NA	NA	NA	NA	-1.20491732360568	1.46677625165604e-05	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00051_igtop	NA	NA	NA	NA	NA	NA	-1.71989325359607	0.0108212606515473	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00051_sense	NA	NA	NA	NA	-0.684871164544024	0.0311256230688227	-2.03256358694557	2.79811264861126e-07	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00052_sense	NA	NA	NA	NA	NA	NA	-1.95678488391644	8.06059626993541e-05	n/a	"putative lipoprotein"	PROKKA_00052
PROKKA_00065_sense	NA	NA	NA	NA	NA	NA	-1.18430150705274	0.0235962232799572	n/a	"hypothetical protein"	PROKKA_00065
PROKKA_00072_sense	NA	NA	NA	NA	0.514302259998629	0.0227997357339006	NA	NA	prlC	"oligopeptidase A"	PROKKA_00072
PROKKA_00086_sense	NA	NA	NA	NA	0.916637668024661	0.000811540346024863	0.8874691182916	0.018554465578235	fha1	"Fha1"	PROKKA_00086
