locus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00087_igtop	789.095248498494	-0.938088868992931	0.214492449459977	-4.37352863168255	1.22254202231112e-05	0.00040026025810466	tssA1_1	TssA1	PROKKA_00087
PROKKA_00206_igtop	60.6417316315262	-2.92781964874631	0.358997672705425	-8.15553935679335	3.47625001105848e-16	1.70718638043082e-13	n/a	putative esterase	PROKKA_00206
PROKKA_00542_sense	51.3772143368698	-1.34563632354155	0.301747802567653	-4.45947348113615	8.21612378059264e-06	0.000284150590749933	dnr	transcriptional regulator Dnr	PROKKA_00542
PROKKA_00821_sense	66.1988022746578	-1.81204555036599	0.276823754631889	-6.54584557880729	5.91596858798131e-11	1.03761863341344e-08	n/a	hypothetical protein	PROKKA_00821
PROKKA_00822_igbot	33.8175718102779	-1.95317754716291	0.364035965482144	-5.36534225286241	8.07958668752398e-08	5.6684071746329e-06	n/a	putative cholesterol oxidase	PROKKA_00822
PROKKA_00823_sense	33.8403980276157	-1.12703731037717	0.358569852164979	-3.14314575966808	0.00167142586978417	0.0203177535804705	n/a	hypothetical protein	PROKKA_00823
PROKKA_00824_igbot	115.041593861492	-0.867215788638301	0.219440405859686	-3.95194214684789	7.75194839247196e-05	0.00188464448294207	n/a	Integrase	PROKKA_00824
PROKKA_00952_sense	288.520034585961	-1.28028694993681	0.174270706175142	-7.34654135532177	2.03401311510427e-13	6.65935893885139e-11	oprG	Outer membrane protein OprG precursor	PROKKA_00952
PROKKA_01230_sense	62.49928701435	-1.88827848197582	0.288342206236304	-6.54874118715845	5.80240882972294e-11	1.03761863341344e-08	oprC	Putative copper transport outer membrane porin OprC precursor	PROKKA_01230
PROKKA_01332_igbot	183.037645968019	-1.39736627007184	0.454898823670606	-3.07181772596467	0.00212759600906588	0.0243299442135063	kdpB_2	potassium-transporting ATPase B chain	PROKKA_01332
PROKKA_01711_sense	3376.77976566803	-3.4095752941169	0.174695133768544	-19.5172883214612	7.82842237601662e-85	3.84453822886176e-81	n/a	P20	PROKKA_01711
PROKKA_01712_sense	1088.83993122982	-2.70731140536738	0.17838282879565	-15.1769731629763	5.02437804503561e-52	8.22490685972329e-49	n/a	hypothetical protein	PROKKA_01712
PROKKA_01755_sense	3277.92120344838	0.602993323438687	0.161754400986663	3.72783256443455	0.000193133615461892	0.00396853215704332	capB_2	cold acclimation protein B	PROKKA_01755
PROKKA_01964_sense	44.2350801074668	-1.04862855400504	0.317362511795895	-3.30419792832824	0.000952485599215046	0.0136246354640264	pelA	PelA	PROKKA_01964
PROKKA_01965_sense	44.0204376566772	-0.838116046958771	0.301361764081733	-2.78109616696915	0.00541756862519742	0.0460423034341324	pelB	PelB	PROKKA_01965
PROKKA_02927_sense	43.0941256896735	2.09386895493774	0.364243246866888	5.74854571209919	9.00143112412226e-09	8.84120565011288e-07	n/a	propeptide PepSY amd peptidase M4	PROKKA_02927
PROKKA_02931_sense	764.423583854843	2.06373667971259	0.164765913077001	12.5252647296539	5.43098355455148e-36	4.44526003940038e-33	fpvA_3	ferripyoverdine receptor	PROKKA_02931
PROKKA_03009_igbot	37.430123595853	-0.937035020880225	0.330175416553562	-2.83799148543883	0.00453983936557975	0.0409434452272928	n/a	gluconokinase	PROKKA_03009
PROKKA_03759_sense	156.291044228904	-1.43354473778358	0.231382764285598	-6.19555541316872	5.8079853972984e-10	7.70892332057633e-08	n/a	McHr	PROKKA_03759
PROKKA_03879_igtop	50.0612032955999	-1.32484562719058	0.332130559682137	-3.98893022207446	6.63719401047515e-05	0.00163795275303736	ccoN2	Cytochrome c oxidase cbb3-type CcoN subunit	PROKKA_03879
PROKKA_03879_sense	76.3516526874125	-1.60248740555505	0.257554980534649	-6.22192357619529	4.91096252445354e-10	6.88536774166342e-08	ccoN2	Cytochrome c oxidase cbb3-type CcoN subunit	PROKKA_03879
PROKKA_04095_igtop	2315.91961600165	-0.830336156669187	0.208663974103897	-3.97929810469224	6.91190287128097e-05	0.00169721775004304	rsaL	regulatory protein RsaL	PROKKA_04095
PROKKA_04112_sense	34.7872841837638	-2.41605371473451	0.417548101382819	-5.78628835033166	7.19586509979345e-09	7.51891351172035e-07	n/a	hypothetical protein	PROKKA_04112
PROKKA_04477_igbot	1221.02705821709	-0.527713089861448	0.17250437074473	-3.05912880690051	0.00221981685348781	0.0250034875400886	dps	DNA-binding protein from starved cells Dps	PROKKA_04477
PROKKA_05160_sense	2838.03365219369	2.37375770297387	0.161281663098673	14.7180879547453	4.93414911398086e-49	6.05790157469e-46	n/a	cspA	PROKKA_05160
PROKKA_05183_sense	464.09742735509	-2.65286902745139	0.171867548191513	-15.4355435646017	9.44017215704006e-54	2.31803427316119e-50	n/a	hypothetical protein	PROKKA_05183
PROKKA_05185_sense	83.294326223786	-2.22865211281176	0.284151639561728	-7.84317879090616	4.39281840134248e-15	1.79776093074941e-12	n/a	radC	PROKKA_05185
PROKKA_05186_sense	102.21132450505	-2.4811910847866	0.25698052924157	-9.65517151088986	4.67376535736166e-22	2.86910770875039e-19	n/a	hypothetical protein	PROKKA_05186
PROKKA_05469_igbot	4861.77417563905	-1.50479248270682	0.18650751470337	-8.0682673033315	7.13028069827724e-16	3.18334622811268e-13	truB	tRNA pseudouridine 55 synthase	PROKKA_05469
