  locus,   size,  type,      raw,      pM,     pKM,"	gene", product,,,,,,,,,,,,,,,,,,,,
PROKKA_00001,482, igtop,211,38.64,80.17,,,,PROKKA_00001,,,"	dnaA_1",,,,,"	dnaA_1",,,,,"	dnaA_1",,,,,
PROKKA_00001,482, igbot,7,1.28,2.66,,,,PROKKA_00002,,,0,"	dnaA_1",,,,,"	dnaA_1",,,,"	dnaA_1",,,,,
PROKKA_00001,1545, sense,1127,206.41,133.6,"	dnaA_1"," ""chromosomal replication initiator protein DnaA""",,PROKKA_00003,,,0,0,"	dnaA_1",,,,,"	dnaA_1",,,"	dnaA_1",,,,,
PROKKA_00001,1545, antis,20,3.66,2.37,,,,PROKKA_00005,,,0,0,0,"	dnaA_1",,,,,"	dnaA_1",,"	dnaA_1",,,,,
PROKKA_00002,28, igtop,25,4.58,163.52,,,,PROKKA_00006,,,"	dnaN_1",0,0,0,,"	dnaN_1",,,,,"	dnaN_1",,,,,
PROKKA_00002,28, igbot,0,0,0,,,,PROKKA_00007,,,0,"	dnaN_1",0,0,,,"	dnaN_1",,,,"	dnaN_1",,,,,
PROKKA_00002,1104, sense,997,182.6,165.4,"	dnaN_1"," ""DNA polymerase III"," beta chain""",,,,0,0,"	dnaN_1",0,,,,"	dnaN_1",,,"	dnaN_1",,,,,
PROKKA_00002,1104, antis,9,1.65,1.49,,,,,,,0,0,0,"	dnaN_1",,,,,"	dnaN_1",,"	dnaN_1",,,,,
PROKKA_00003,9, igtop,4,0.73,81.4,,,,,,,"	recF",0,0,0,,"	recF",,,,,"	recF",,,,,
PROKKA_00003,9, igbot,0,0,0,,,,,,,0,"	recF",0,0,,,"	recF",,,,"	recF",,,,,
PROKKA_00003,1110, sense,2616,479.11,431.63,"	recF"," ""RecF protein""",,,,,0,0,"	recF",0,,,,"	recF",,,"	recF",,,,,
PROKKA_00003,1110, antis,8,1.47,1.32,,,,,,,0,0,0,"	recF",,,,,"	recF",,"	recF",,,,,
PROKKA_00004,4, igtop,0,0,0,,,,,,,"	gyrB",0,0,0,,"	gyrB",,,,,"	gyrB",,,,,
PROKKA_00004,4, igbot,0,0,0,,,,,,,0,"	gyrB",0,0,,,"	gyrB",,,,"	gyrB",,,,,
PROKKA_00004,2421, sense,1424,260.8,107.72,"	gyrB"," ""DNA gyrase subunit B""",,,,,0,0,"	gyrB",0,,,,"	gyrB",,,"	gyrB",,,,,
PROKKA_00004,2421, antis,87,15.93,6.58,,,,,,,0,0,0,"	gyrB",,,,,"	gyrB",,"	gyrB",,,,,
PROKKA_00005,311, igtop,1,0.18,0.59,,,,,,,"	lptA",0,0,0,,"	lptA",,,,,"	lptA",,,,,
PROKKA_00005,311, igbot,3,0.55,1.77,,,,,,,0,"	lptA",0,0,,,"	lptA",,,,"	lptA",,,,,
PROKKA_00005,774, sense,143,26.19,33.84,"	lptA"," ""lysophosphatidic acid acyltransferase"," LptA""",,,,0,0,"	lptA",0,,,,"	lptA",,,"	lptA",,,,,
PROKKA_00005,774, antis,11,2.01,2.6,,,,,,,0,0,0,"	lptA",,,,,"	lptA",,"	lptA",,,,,
PROKKA_00006,11, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00006,11, igbot,7,1.28,116.55,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00006,537, sense,161,29.49,54.91,"	n/a","  ""D",D-heptose 1,"7-bisphosphate phosphatase""",,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00006,537, antis,13,2.38,4.43,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00007,331, igtop,7,1.28,3.87,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00007,331, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00007,1707, sense,9,1.65,0.97,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00007,1707, antis,6,1.1,0.64,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00008,56, igtop,1,0.18,3.27,,,,,,,"	glyS",0,0,0,,"	glyS",,,,,"	glyS",,,,,
PROKKA_00008,56, igbot,0,0,0,,,,,,,0,"	glyS",0,0,,,"	glyS",,,,"	glyS",,,,,
PROKKA_00008,2058, sense,430,78.75,38.27,"	glyS"," ""glycyl-tRNA synthetase beta chain""",,,,,0,0,"	glyS",0,,,,"	glyS",,,"	glyS",,,,,
PROKKA_00008,2058, antis,6,1.1,0.53,,,,,,,0,0,0,"	glyS",,,,,"	glyS",,"	glyS",,,,,
PROKKA_00009,4, igtop,0,0,0,,,,,,,"	glyQ",0,0,0,,"	glyQ",,,,,"	glyQ",,,,,
PROKKA_00009,4, igbot,0,0,0,,,,,,,0,"	glyQ",0,0,,,"	glyQ",,,,"	glyQ",,,,,
PROKKA_00009,948, sense,381,69.78,73.61,"	glyQ"," ""glycyl-tRNA synthetase alpha chain""",,,,,0,0,"	glyQ",0,,,,"	glyQ",,,"	glyQ",,,,,
