locus	CF39 Log2FoldChange_25vs41	CF39 padj_25vs41	CF39 Log2FoldChange_29vs41	CF39 padj_29vs41	CF39 Log2FoldChange_33vs41	CF39 padj_33vs41	CF39 Log2FoldChange_37vs41	CF39 padj_37vs41	gene	product	locusNumber
PROKKA_00001_sense	NA	NA	-0.626665498876888	0.0376680942154211	NA	NA	NA	NA	dnaA_1	"chromosomal replication initiator protein DnaA"	PROKKA_00001
PROKKA_00002_sense	-0.631936923978133	0.0247806036692401	NA	NA	NA	NA	NA	NA	dnaN_1	"DNA polymerase III beta chain"	PROKKA_00002
PROKKA_00003_sense	NA	NA	-0.737710502320673	0.0160554957883489	NA	NA	NA	NA	recF	"RecF protein"	PROKKA_00003
PROKKA_00008_sense	NA	NA	-0.939252337588392	0.00113569399406349	NA	NA	NA	NA	glyS	"glycyl-tRNA synthetase beta chain"	PROKKA_00008
PROKKA_00009_sense	-0.68907613986534	0.0327092862960278	NA	NA	NA	NA	NA	NA	glyQ	"glycyl-tRNA synthetase alpha chain"	PROKKA_00009
PROKKA_00011_sense	-1.14854048039135	8.45146341629344e-06	-0.707442432333969	0.0188133943314291	-1.01113803795918	0.00909057999956394	NA	NA	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00013_sense	-1.36631414746891	0.00128284994485802	NA	NA	NA	NA	NA	NA	yhhQ	"Inner membrane protein YhhQ"	PROKKA_00013
PROKKA_00014_antis	-2.18520015907754	0.0135332952202323	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00014
PROKKA_00017_sense	-1.09486324059259	0.0118845789612454	-1.05417099716282	0.0285998725336405	NA	NA	NA	NA	n/a	"putative tRNA and rRNA cytosine-C5-methylases"	PROKKA_00017
PROKKA_00018_sense	-0.860519323636035	0.0482620454619293	NA	NA	NA	NA	NA	NA	fmt	"methionyl-tRNA formyltransferase"	PROKKA_00018
PROKKA_00042_sense	1.07686439091352	6.34839085605309e-05	NA	NA	NA	NA	NA	NA	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_antis	-0.906847843942484	0.00741873296320363	NA	NA	NA	NA	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00050_sense	-1.20491732360568	1.46677625165604e-05	-1.56993100858839	1.87491804635058e-08	-1.05568922351481	0.0165227158700643	-0.813736624649347	0.0275830010143794	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00051_sense	-2.03256358694557	2.79811264861126e-07	-1.60142895157256	0.00066428404636026	NA	NA	-1.31515651829163	0.0175032223904316	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00052_sense	-1.95678488391644	8.06059626993541e-05	-2.09149570442412	3.38371129178882e-05	-1.84101042005267	0.00387137087021689	NA	NA	n/a	"putative lipoprotein"	PROKKA_00052
