locus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00087_sense	287.897742263073	-1.09134966541248	0.253744743292009	-4.3009744803129	1.70048645050898e-05	0.00512028616580044	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	196.978475262777	-1.14495761282381	0.235517259894521	-4.8614594672874	1.16523441780589e-06	0.000614005711032589	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	452.014624982151	-0.914202928206284	0.200128572099108	-4.56807800414201	4.92216864296804e-06	0.00180429581864624	tssC1	"TssC1"	PROKKA_00089
PROKKA_00284_sense	262.538932073663	-0.894875776942856	0.238106534846459	-3.75829994552611	0.00017107173591349	0.0253036106225725	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00634_sense	102.860138423083	-0.962492263885304	0.257943203928135	-3.73141160235204	0.000190409825168511	0.0272092412880629	n/a	"phage protein"	PROKKA_00634
PROKKA_00637_sense	113.855958649814	-1.20266174527117	0.260427963681391	-4.61802076962255	3.87417484644965e-06	0.00155538895859129	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	52.326974178714	-1.12951275824064	0.315350440313179	-3.58177003691165	0.000341274138060781	0.043595185727128	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	837.911394806614	-0.924606293392484	0.217330879930457	-4.254371462023	2.09637040792157e-05	0.00589149963639559	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	162.442583760999	-0.894332286161313	0.232848863890034	-3.84082735565191	0.000122620333388621	0.0198810005922973	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	351.043085663833	-0.866266118699799	0.221400218370754	-3.91267057040187	9.12810198210368e-05	0.0160331307939825	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	151.775161576692	-0.957920383897477	0.24023590416015	-3.98741556657116	6.67969647411284e-05	0.0127992093121012	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00644_igtop	125.371961003902	-0.954981712298061	0.243698821769161	-3.9186964687201	8.90291442297232e-05	0.0159703130851233	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_sense	543.309840764711	-1.18469991102688	0.213677916373307	-5.54432545550073	2.95089525196951e-08	2.764333096595e-05	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	68.0490481501029	-1.24194859642577	0.313488756359406	-3.96170060722021	7.44178190808015e-05	0.0139425918371164	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00647_sense	222.402026878552	-0.969348293577237	0.235649442633519	-4.11351829541462	3.89674142171586e-05	0.00842395562217601	n/a	"putative phage late control gene D protein"	PROKKA_00647
PROKKA_00675_igtop	961.960103266836	-0.964037370902919	0.255810516728178	-3.76856035175167	0.000164191789543508	0.0247196603150235	n/a	"5S ribosomal RNA"	PROKKA_00675
PROKKA_00696_antis	39.5287003758641	1.47075751275634	0.396175310883295	3.71239063200886	0.000205310787184272	0.0281781491489663	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00699_antis	205.308811437979	1.57586981173104	0.305201204792898	5.16338004891033	2.42530019527245e-07	0.000185888235875837	rpsJ	"30S ribosomal protein S10"	PROKKA_00699
PROKKA_01767_antis	42.0486998546651	-1.52851227382545	0.374165287240642	-4.08512581457724	4.40529398674555e-05	0.00905878868347603	bifA_1	"BifA"	PROKKA_01767
PROKKA_01772_antis	11.8246935356017	-2.68891033389724	0.712302719122961	-3.77495447049258	0.000160036890649989	0.0245322004558192	potC_4	"polyamine transport protein PotC"	PROKKA_01772
PROKKA_01933_antis	14.9268257745808	-2.50256620756735	0.602981008344793	-4.15032343130839	3.32005799752438e-05	0.00823276734621412	oruR_3	"transcriptional regulator OruR"	PROKKA_01933
PROKKA_01935_sense	73.6500583196291	-2.20747167401916	0.345507056652932	-6.38907840379251	1.66888480709794e-10	4.83965681473396e-07	fadH1_1	"2-4-dienoyl-CoA reductase FadH1"	PROKKA_01935
PROKKA_01970_sense	44.2682409782602	1.24608627174708	0.33355227213879	3.73580507713821	0.000187115573097115	0.0271995068410652	pelG	"PelG"	PROKKA_01970
PROKKA_02393_sense	1037.63587782383	-0.964606925252106	0.252694600168186	-3.81728349007099	0.000134929103415573	0.0214639107716358	n/a	"hypothetical protein"	PROKKA_02393
PROKKA_02402_antis	11.0333791955804	-2.93762889810876	0.711821541180447	-4.12691767270369	3.67657939889569e-05	0.00837763267894313	clpB_3	"ClpB protein"	PROKKA_02402
PROKKA_02429_igtop	141.652433097683	-1.04360721328679	0.264132087080846	-3.95108078242445	7.77990561369685e-05	0.0142592139628431	n/a	"putative hydrolase"	PROKKA_02429
PROKKA_02566_antis	159.319354382138	-2.96642657985902	0.32173771040549	-9.22001519846833	2.97058109136732e-20	2.50449691813179e-16	n/a	"transcriptional regulator LysR family"	PROKKA_02566
PROKKA_02567_sense	10.751833788428	-3.10413945064288	0.75335586900464	-4.12041583314959	3.78189206559605e-05	0.00839082421185272	n/a	"XRE family transcriptional regulator"	PROKKA_02567
PROKKA_02568_antis	49.8517807798855	-1.33098304762658	0.372894316398389	-3.56933047540634	0.000357894722067487	0.0450359761455371	catR_4	"transcriptional regulator CatR"	PROKKA_02568
PROKKA_02569_igtop	34.9294970357564	-2.08539887704766	0.491724139608336	-4.24099349425615	2.22532587615865e-05	0.0060521685360947	hpd_2	"4-hydroxyphenylpyruvate dioxygenase"	PROKKA_02569
PROKKA_02570_sense	45.941512547815	-2.5932793433152	0.40619782381183	-6.38427680133641	1.72209351728168e-10	4.83965681473396e-07	lrp_1	"leucine-responsive regulatory protein"	PROKKA_02570
PROKKA_02574_antis	11.7161522129562	-2.35885598015755	0.665122949249678	-3.54649615205514	0.000390390443618022	0.0484026739726991	fdx2_2	"ferredoxin [2Fe-2S]"	PROKKA_02574
