locus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00089_sense	671.301860108247	1.79088788569052	0.27698816763172	6.46557541068566	1.00914062023953e-10	1.05467809072784e-07	tssC1	TssC1	PROKKA_00089
PROKKA_00090_igtop	43.0952013033203	1.6265365751736	0.41029687454387	3.96429189713382	7.36141324262206e-05	0.00731559832633502	hcp1_1	Hcp1	PROKKA_00090
PROKKA_00090_sense	96.1087652939497	1.35361117962351	0.316098822067346	4.28224050558188	1.85020842531512e-05	0.00230889442448652	hcp1_1	Hcp1	PROKKA_00090
PROKKA_00094_sense	52.5172525034406	1.40256132746176	0.389966927933705	3.59661608971157	0.000322383742021637	0.0240665220271688	tssG1_1	TssG1	PROKKA_00094
PROKKA_00095_sense	85.3403852108739	1.25442931544612	0.329781429845605	3.80382035469191	0.000142481525322243	0.0120332124567603	clpV1_1	ClpV1	PROKKA_00095
PROKKA_00096_sense	58.0242101365062	1.40456002299587	0.363307140477434	3.86604023568074	0.000110616696562521	0.0101633648347169	vgrG1_1	VgrG1	PROKKA_00096
PROKKA_00160_igtop	15.967593260904	-2.02799538878114	0.575698320324956	-3.52267032434006	0.000427222428040953	0.0292787436135279	pcaR_1	transcriptional regulator PcaR	PROKKA_00160
PROKKA_00469_sense	8683.43152507265	-1.08685920344491	0.287392473198258	-3.78179425282003	0.000155702030694408	0.0128893532538212	n/a	cspA	PROKKA_00469
PROKKA_00656_igtop	1418.8359245618	-1.00680271579484	0.26670524762675	-3.77496402771889	0.000160030755081053	0.0131178151297322	speD	S-adenosylmethionine decarboxylase proenzyme	PROKKA_00656
PROKKA_00821_sense	168.64525935104	1.15954501308856	0.32947389360565	3.51938358574907	0.000432550819543904	0.0294029057089966	n/a	hypothetical protein	PROKKA_00821
PROKKA_00833_sense	16.9343956720729	2.44901851741439	0.594947867368348	4.11635817478801	3.8490599588079e-05	0.00429093204207905	n/a	hypothetical protein	PROKKA_00833
PROKKA_00866_igtop	7.41002732436973	3.90687993729216	1.07589299634037	3.63129042626109	0.000282007612123206	0.0222440155185106	n/a	hypothetical protein	PROKKA_00866
PROKKA_01301_igtop	63.5643282343929	-1.58011588374119	0.360199119018264	-4.38678442092767	1.15038706160117e-05	0.00163023495288938	n/a	hypothetical protein	PROKKA_01301
PROKKA_01500_sense	2272.67994915889	-0.810187847902818	0.239570345130029	-3.38183696092721	0.000720028652693063	0.0445937745567904	bfrB_1	bacterioferritin	PROKKA_01500
PROKKA_01754_sense	64853.4653042436	-1.96142547105587	0.276024241011757	-7.1059899082281	1.19463143759952e-12	2.4970783624424e-09	n/a	cspA	PROKKA_01754
PROKKA_01756_igbot	63365.1615018632	-1.98462343140459	0.278687550992339	-7.12132072041907	1.06897717429653e-12	2.4970783624424e-09	n/a	SMR multidrug efflux transporter	PROKKA_01756
PROKKA_01879_antis	39.6524799983515	-1.83689414859154	0.445245086640008	-4.1255798294226	3.69801878612906e-05	0.00417826149605744	n/a	putative competence protein	PROKKA_01879
PROKKA_01964_sense	172.267447912024	1.28548643109024	0.278996544638658	4.60753531107395	4.07470023570498e-06	0.000630899419828321	pelA	PelA	PROKKA_01964
PROKKA_01965_sense	147.454479455431	1.27140563783634	0.271853818657547	4.6767988918262	2.91387769203068e-06	0.000468517911212855	pelB	PelB	PROKKA_01965
PROKKA_01967_sense	22.319671297311	1.76470712337102	0.486666790662388	3.62610960359372	0.000287723270514106	0.0224827501380228	pelD	PelD	PROKKA_01967
PROKKA_01970_sense	93.6590672295523	1.09152606475146	0.299259568670235	3.64742243531818	0.000264884236579806	0.0210923533527977	pelG	PelG	PROKKA_01970
PROKKA_02092_igbot	227.619178401259	1.08477514319649	0.280041637404398	3.87362091312874	0.000107230167162279	0.00996168252937572	n/a	hypothetical protein	PROKKA_02092
PROKKA_02096_igtop	98.0831977912014	1.23092510582826	0.350076324786956	3.51616210144277	0.000437833576823174	0.0295219881920851	n/a	hypothetical protein	PROKKA_02096
PROKKA_02098_igtop	121.031120360547	1.12510692631221	0.290435955837926	3.87385550479178	0.000107126944698529	0.00996168252937572	n/a	putative oxidase	PROKKA_02098
PROKKA_02362_sense	1175.16835756577	-0.928543530992914	0.259722560384954	-3.57513621310622	0.000350045600699155	0.0256730812933827	eco	ecotin precursor	PROKKA_02362
PROKKA_02441_sense	175.931054766411	1.09201615503259	0.272892820065967	4.00163021793175	6.29075585779964e-05	0.00657462621588285	vgrG4_2	VgrG4	PROKKA_02441
PROKKA_02461_sense	444.259836767492	-1.05046038535969	0.275283315332498	-3.81592463782595	0.000135673912084051	0.0116945317415953	n/a	putative 6-pyruvoyl tetrahydrobiopterin synthase	PROKKA_02461
PROKKA_02477_sense	79.7089521850233	-1.08540717279291	0.322746848510201	-3.36302950068496	0.000770921249579693	0.0473946512333516	n/a	membrane protein	PROKKA_02477
PROKKA_02688_antis	41.1730834984868	1.56497014748599	0.405373264819143	3.86056576322122	0.000113124788297366	0.0102808299451552	n/a	hypothetical protein	PROKKA_02688
PROKKA_02737_igtop	1208.4234807744	0.958763869719738	0.281960271633142	3.40035092237102	0.000672994220549813	0.0424994830693713	n/a	hypothetical protein	PROKKA_02737
PROKKA_03556_sense	60.0491270470639	2.01850692021768	0.530408284336532	3.80557200900916	0.000141476844605158	0.0120332124567603	modA	molybdate-binding periplasmic protein precursor ModA	PROKKA_03556
PROKKA_03575_sense	25.1904925602512	2.6995666112218	0.520525267260231	5.18623548368917	2.14587446604275e-07	4.84909632718471e-05	n/a	hypothetical protein	PROKKA_03575
PROKKA_04298_sense	324.601793260191	-0.979632328242312	0.260270284575918	-3.76390385801635	0.000167281219060698	0.0135790123550145	n/a	hypothetical protein	PROKKA_04298
PROKKA_04336_sense	410.769052911471	-1.24449120131181	0.254157765246615	-4.89653031102257	9.75436081941197e-07	0.000194181454312151	n/a	signal transduction histidine kinase	PROKKA_04336
PROKKA_04785_igbot	3286.56908686828	1.41255204157106	0.327256453165843	4.31634587463802	1.58633352111026e-05	0.00213924751129079	n/a	hypothetical protein	PROKKA_04785
PROKKA_05336_sense	339.409818418778	1.57712556366287	0.259565769290844	6.07601521561071	1.2320572423803e-09	6.86748706902782e-07	cdrB_5	cyclic diguanylate-regulated TPS partner B CdrB	PROKKA_05336
PROKKA_05337_sense	1063.58080589848	1.15911060143734	0.243837683514863	4.75361553935815	1.99810831528442e-06	0.000348045492168605	cdrA_2	cyclic diguanylate-regulated TPS partner A CdrA	PROKKA_05337
PROKKA_05338_igbot	967.328328228323	1.37969613407721	0.29331926254445	4.7037351795746	2.5544453862072e-06	0.000427154357481568	hprA	glycerate dehydrogenase	PROKKA_05338
PROKKA_05390_sense	296.307982392211	1.15636740918951	0.332612997983544	3.47661521407748	0.000507786002967131	0.0334944767897717	pfeA_3	Ferric enterobactin receptor outer membrane protein PfeA precursor	PROKKA_05390
PROKKA_05427_antis	24.4019245015463	1.71905292701175	0.483595448265286	3.55473347232319	0.000378362422151707	0.0270383607829951	n/a	PrrF	PROKKA_05427
PROKKA_05494_sense	982.887157056016	-1.02503616558407	0.236716216905778	-4.33023211921334	1.48952247316176e-05	0.00204162252427958	omlA	Outer membrane lipoprotein OmlA precursor	PROKKA_05494
PROKKA_05560_igbot	263.695776044905	-1.09720336335231	0.316623134491353	-3.46532910526245	0.000529582981339524	0.0343243667207733	n/a	hypothetical protein	PROKKA_05560
PROKKA_05712_igbot	168.824516078573	-1.3598979031356	0.343248463254888	-3.96184702544692	7.43721872668912e-05	0.00731559832633502	aprF_3	Alkaline protease secretion outer membrane protein AprF precursor	PROKKA_05712
