locus	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00011_sense	556.400331173536	-0.435673365357273	0.152355500722228	-2.85958408650821	0.00424196942816871	0.0393805517235095	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00020_igbot	247.746382345087	-0.670897829190407	0.182745002234656	-3.67122395133374	0.000241391705647861	0.00474189866574658	n/a	"putative lysin domain protein"	PROKKA_00020
PROKKA_00022_igtop	89.6587641556318	-0.754984256576409	0.247159110248514	-3.05464870713155	0.00225324277808885	0.0252640988200784	n/a	"putative translation factor"	PROKKA_00022
PROKKA_00037_sense	259.695110493785	0.662544521229585	0.229690682784603	2.88450760473771	0.00392026290154784	0.0370952044499064	trpB	"tryptophan synthase beta chain"	PROKKA_00037
PROKKA_00040_igtop	1046.52437819687	-0.576215409701966	0.137561539293552	-4.18878279976456	2.80454661724013e-05	0.000781687373500999	n/a	"hypothetical protein"	PROKKA_00040
PROKKA_00042_sense	657.91597118851	0.698582072700937	0.147683331880127	4.73027026007219	2.24221140073124e-06	0.00010063301395182	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_igtop	1575.87688658661	0.537183064030428	0.151414064828948	3.54777519933359	0.000388499654145804	0.00687545686601995	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00045_igbot	111.683738093823	0.64576043520024	0.215425527374084	2.99760405868189	0.00272110944701926	0.0287337331854628	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00045_igtop	1074.38760458645	0.799047580480819	0.173129300447642	4.61532264275779	3.92485094265172e-06	0.000149418162630718	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00087_igtop	789.095248498494	0.938089308089197	0.214492449493256	4.37353067814488	1.22253055654308e-05	0.000400256504212206	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00087_sense	287.594278698193	1.36348013766565	0.225189593203744	6.05480971952386	1.40583741699467e-09	1.77027373201559e-07	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	210.244022303979	1.101138517621	0.20950260384101	5.25596578482929	1.4724966658489e-07	9.39556713167632e-06	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	491.35632027688	0.800127956410238	0.171138784791128	4.67531633689454	2.9350084692653e-06	0.000124257125797948	tssC1	"TssC1"	PROKKA_00089
PROKKA_00094_sense	29.1175672114314	1.36763486358072	0.368165825902336	3.71472517914662	0.000203424654377504	0.00407969858254886	tssG1_1	"TssG1"	PROKKA_00094
PROKKA_00104_sense	119.972856217147	0.980403486086211	0.227487846154131	4.30969611194944	1.63479032052698e-05	0.00051464456821205	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00165_igbot	31.3741062983458	1.28006101011154	0.36156923375523	3.54029295251956	0.000399683106860049	0.00698520903128008	n/a	"hypothetical protein"	PROKKA_00165
PROKKA_00205_sense	29.2730670604434	1.92145268462895	0.390113783738517	4.92536476464736	8.42031295635072e-07	4.54419306908114e-05	n/a	"hypothetical protein"	PROKKA_00205
PROKKA_00206_igtop	60.6417316315262	2.92782027516479	0.358997670871103	8.15554114337421	3.47619862045166e-16	1.70716114250381e-13	n/a	"putative esterase"	PROKKA_00206
PROKKA_00284_sense	277.097422078527	0.901007279441617	0.209552711329814	4.29966891730417	1.71053457872602e-05	0.000528329265165	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00293_igtop	83.2266215469832	-0.944386692400647	0.245871439295088	-3.8409776064605	0.000122545294690171	0.00272316715938204	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00298_sense	1497.76520514117	-0.409488316897784	0.140297717418731	-2.91870975830368	0.00351483313929547	0.0342487014823017	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00300_sense	45.396854686376	1.35006345771211	0.31341425026246	4.30760074432332	1.65034934314097e-05	0.000516233479246197	aguB_1	"N-carbamoylputrescine amidohydrolase"	PROKKA_00300
PROKKA_00382_igbot	26.9647993996736	1.26672344451756	0.374949576977863	3.37838344752247	0.000729133333919713	0.0113675358821578	n/a	"putative hydrolase"	PROKKA_00382
PROKKA_00410_igtop	57.3537040140872	-1.23543934534193	0.274011556119468	-4.50871256248509	6.52222020025995e-06	0.00022879016716769	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00423_igtop	543.504972279026	0.783906811517235	0.161424059724198	4.85619561827762	1.19662491692258e-06	6.12148434063207e-05	pilG_1	"twitching motility protein PilG"	PROKKA_00423
PROKKA_00435_sense	218.728433003085	0.689205275708509	0.184014553129555	3.74538461217942	0.000180117619499337	0.00376407501855849	bioA	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	PROKKA_00435
PROKKA_00438_sense	247.498404510683	-0.759873900606977	0.163927766803507	-4.63541909600834	3.56215028242911e-06	0.000143391147844339	pasP	"PasP"	PROKKA_00438
PROKKA_00440_igtop	281.624373706243	-0.943600699776519	0.172901186182132	-5.45745648489967	4.8300347015994e-08	3.54034334620218e-06	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00442_sense	285.13889110856	-0.517954666538343	0.162188329272301	-3.1935384553394	0.00140540617572297	0.0180679312276846	oprM_1	"Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor"	PROKKA_00442
PROKKA_00451_igtop	68.749922234452	-0.833736830494103	0.254732873695834	-3.27298482680187	0.00106418190147663	0.0146126086947217	n/a	"putative transcriptional regulator"	PROKKA_00451
PROKKA_00469_antis	79.1698818139549	-1.18512185499406	0.324062312980354	-3.65708015873451	0.000255104622143015	0.00496393925357037	n/a	"cspA"	PROKKA_00469
PROKKA_00515_sense	443.335459949849	0.449620834615831	0.144410633412865	3.11348841833815	0.00184889766309918	0.0220386806395148	bioB	"biotin synthase"	PROKKA_00515
PROKKA_00521_igtop	169.820248772265	-0.862059571607124	0.184505447408771	-4.67227165221433	2.97886613177691e-06	0.000125035996351764	liuA_1	"putative isovaleryl-CoA dehydrogenase"	PROKKA_00521
PROKKA_00542_sense	51.3772143368698	1.34563681921481	0.301747802414839	4.4594751260685	8.21606072839393e-06	0.000284148410120723	dnr	"transcriptional regulator Dnr"	PROKKA_00542
PROKKA_00565_igtop	99.8635460753841	-0.893444152837987	0.247339532776305	-3.61221735486184	0.00030358993136934	0.00569057310288103	tktA	"transketolase"	PROKKA_00565
PROKKA_00569_sense	182.477166230257	0.59023483097524	0.18388777953522	3.20975560457074	0.00132847872983209	0.0172085285562731	pgk	"phosphoglycerate kinase"	PROKKA_00569
PROKKA_00578_sense	114.616168678139	-0.667488140024301	0.212346731296988	-3.14338787297249	0.00167004384266763	0.0203176307362157	n/a	"hypothetical protein"	PROKKA_00578
PROKKA_00597_sense	5313.96132432255	-0.487565359318877	0.148654753162033	-3.27985045178766	0.0010386212569122	0.0145275512085716	rpsU	"30S ribosomal protein S21"	PROKKA_00597
PROKKA_00613_antis	171.599081792817	-0.555296288518021	0.183851985540791	-3.02034425619416	0.00252487523923278	0.0272520050546642	ostA	"organic solvent tolerance protein OstA precursor"	PROKKA_00613
PROKKA_00625_sense	87.3469961451784	-0.752554048832849	0.226656847819019	-3.32023521933804	0.000899416323105821	0.0130681466354221	rpe	"ribulose-phosphate 3-epimerase"	PROKKA_00625
PROKKA_00647_sense	260.77624385215	0.561274995105966	0.196408305385085	2.85769481084576	0.00426730599679562	0.0395410183967232	n/a	"putative phage late control gene D protein"	PROKKA_00647
PROKKA_00655_sense	61.2390748398903	-0.738819878139632	0.263427583134943	-2.80464129590091	0.00503726038743559	0.0433239680607639	n/a	"putative redox protein"	PROKKA_00655
PROKKA_00666_sense	414.506186537399	0.731056155107747	0.195635149361531	3.73683439552452	0.000186351568341542	0.00385698320793221	n/a	"putative integral membrane protein"	PROKKA_00666
PROKKA_00667_igtop	74.1835778093986	-0.876519944829639	0.249789000856493	-3.50904139823679	0.000449724898217958	0.00761585853499446	n/a	"iron-sulfur cluster insertion protein ErpA"	PROKKA_00667
PROKKA_00675_igtop	1062.87523602882	0.782160115571869	0.194765176652229	4.01591356841212	5.921595647224e-05	0.00147619067124452	n/a	"5S ribosomal RNA"	PROKKA_00675
PROKKA_00676_sense	411.595203585217	-0.52348404880077	0.159641109204176	-3.27913061623276	0.00104127428739914	0.0145275512085716	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00680_igtop	1011.92166511421	0.559256500344126	0.173359302630778	3.22599648162658	0.00125534900193889	0.0165480752475242	n/a	"tRNA-Gly"	PROKKA_00680
PROKKA_00680_sense	2090.89843777971	0.719621893345082	0.185258907461782	3.88441183856995	0.000102577904945306	0.00237622684521886	n/a	"tRNA-Gly"	PROKKA_00680
