locus	CF39 Log2FoldChange_25vs37	CF39 padj_25vs37	CF39 Log2FoldChange_29vs37	CF39 padj_29vs37	gene	product	locusNumber
PROKKA_00008_sense	NA	NA	-0.700361921460459	0.00327914002327639	glyS	"glycyl-tRNA synthetase beta chain"	PROKKA_00008
PROKKA_00011_igtop	NA	NA	0.824078080186299	0.0332330392619481	n/a	"2-OH-lauroyltransferase"	PROKKA_00011
PROKKA_00020_igbot	NA	NA	0.653381508273411	0.0399454816691179	n/a	"putative lysin domain protein"	PROKKA_00020
PROKKA_00037_sense	NA	NA	-0.977523236601235	0.00209381962316126	trpB	"tryptophan synthase beta chain"	PROKKA_00037
PROKKA_00040_igtop	NA	NA	0.757257589540575	0.000479920389458809	n/a	"hypothetical protein"	PROKKA_00040
PROKKA_00042_sense	1.27494007668995	1.08909230846873e-14	0.566235223968426	0.00630623012148093	n/a	"putative hemagglutinin"	PROKKA_00042
PROKKA_00043_antis	-0.794912383364906	0.00167081753645915	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igbot	0.728999008184253	0.000123977485931536	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00043_igtop	1.00912199742102	4.21385244131402e-08	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_00043
PROKKA_00044_igtop	0.519831069038492	0.0402487744910488	NA	NA	n/a	"transposase-like protein"	PROKKA_00044
PROKKA_00045_igtop	0.674673325702997	0.000472081417505857	NA	NA	n/a	"hypothetical protein"	PROKKA_00045
PROKKA_00050_sense	NA	NA	-0.742465895648926	0.000306152606187086	n/a	"putative lipoprotein"	PROKKA_00050
PROKKA_00051_sense	-0.684871164544024	0.0311256230688227	NA	NA	n/a	"putative lipoprotein"	PROKKA_00051
PROKKA_00072_sense	0.514302259998629	0.0227997357339006	NA	NA	prlC	"oligopeptidase A"	PROKKA_00072
PROKKA_00076_igbot	NA	NA	-0.860496496065071	0.000403391487827306	tagR1	"TagR1"	PROKKA_00076
PROKKA_00086_sense	0.916637668024661	0.000811540346024863	NA	NA	fha1	"Fha1"	PROKKA_00086
PROKKA_00087_igtop	1.06552245088378	0.000109784411198611	NA	NA	tssA1_1	"TssA1"	PROKKA_00087
