locus	baseMean	log2FoldChange	Fold change	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00042_sense	871.1386739	1.274940077	2.419887665	0.153860129	8.286357775	1.17E-16	1.09E-14	n/a	putative hemagglutinin	PROKKA_00042
PROKKA_00043_antis	148.3965042	-0.794912383	-1.734972004	0.208134656	-3.819221638	0.000133873	0.001670818	n/a	filamentous hemagglutinin	PROKKA_00043
PROKKA_00043_igbot	349.4458552	0.728999008	1.657488669	0.161698021	4.508397826	6.53E-06	0.000123977	n/a	filamentous hemagglutinin	PROKKA_00043
PROKKA_00043_igtop	1966.845944	1.009121997	2.012685837	0.164693	6.127291368	8.94E-10	4.21E-08	n/a	filamentous hemagglutinin	PROKKA_00043
PROKKA_00044_igtop	408.6354441	0.519831069	1.43378735	0.190667504	2.726374749	0.006403425	0.040248774	n/a	transposase-like protein	PROKKA_00044
PROKKA_00045_igtop	1033.670038	0.674673326	1.596235291	0.161891703	4.167436099	3.08E-05	0.000472081	n/a	hypothetical protein	PROKKA_00045
PROKKA_00051_sense	85.09819457	-0.684871165	-1.607558417	0.241788521	-2.832521414	0.004618247	0.031125623	n/a	putative lipoprotein	PROKKA_00051
PROKKA_00072_sense	231.4646157	0.51430226	1.428303193	0.173821876	2.958789025	0.003088505	0.022799736	prlC	oligopeptidase A	PROKKA_00072
PROKKA_00086_sense	105.7601489	0.916637668	1.887710681	0.228104164	4.018504763	5.86E-05	0.00081154	fha1	Fha1	PROKKA_00086
PROKKA_00087_igtop	849.7340554	1.065522451	2.092927665	0.234783061	4.538327629	5.67E-06	0.000109784	tssA1_1	TssA1	PROKKA_00087
PROKKA_00087_sense	213.7647769	0.694028989	1.617795204	0.220121397	3.152937412	0.001616365	0.013507077	tssA1_1	TssA1	PROKKA_00087
PROKKA_00089_sense	453.0651837	0.574253838	1.488907201	0.181689543	3.160632301	0.001574271	0.013257501	tssC1	TssC1	PROKKA_00089
PROKKA_00094_sense	30.7887995	1.454335897	2.740303899	0.37599268	3.867989918	0.000109736	0.001401844	tssG1_1	TssG1	PROKKA_00094
PROKKA_00096_sense	39.34007587	0.859705889	1.814668331	0.317917246	2.704181353	0.006847291	0.042242816	vgrG1_1	VgrG1	PROKKA_00096
PROKKA_00098_sense	108.2666841	0.74689233	1.678174025	0.217400729	3.43555578	0.00059134	0.00590931	n/a	PAAR motif-containing protein	PROKKA_00098
PROKKA_00104_antis	19.5765706	1.354095934	2.55636871	0.449621273	3.011636715	0.002598434	0.019981218	n/a	hypothetical protein	PROKKA_00104
PROKKA_00104_sense	134.1556687	1.18710757	2.276957827	0.233066506	5.093428448	3.52E-07	9.52E-06	n/a	hypothetical protein	PROKKA_00104
PROKKA_00133_sense	537.4833182	-0.547002441	-1.461046851	0.18733935	-2.919848081	0.003502021	0.025267889	n/a	putative alkylphosphonate uptake protein	PROKKA_00133
PROKKA_00142_antis	23.50876778	1.394604487	2.62916464	0.416665378	3.347061124	0.000816732	0.007738025	n/a	ABC transporter permease	PROKKA_00142
PROKKA_00166_igbot	18.36752564	1.765910048	3.400884589	0.474053699	3.725126608	0.000195217	0.00232918	opdC_1	histidine porin OpdC	PROKKA_00166
PROKKA_00169_igtop	537.6164945	-0.456713495	-1.372411857	0.15885575	-2.875020232	0.004040016	0.028145813	n/a	putative outer membrane protein	PROKKA_00169
PROKKA_00205_sense	33.5625631	2.143378138	4.417953207	0.397298681	5.394878571	6.86E-08	2.21E-06	n/a	hypothetical protein	PROKKA_00205
PROKKA_00206_igtop	38.39111935	2.127491797	4.369571463	0.404345945	5.261563329	1.43E-07	4.23E-06	n/a	putative esterase	PROKKA_00206
PROKKA_00229_sense	20.11281523	1.625772941	3.086074609	0.450845875	3.606050384	0.000310893	0.003452861	dapA_1	dihydrodipicolinate synthase	PROKKA_00229
PROKKA_00266_antis	178.497741	0.58549852	1.500557414	0.196154766	2.984880419	0.002836892	0.021416189	n/a	hypothetical protein	PROKKA_00266
PROKKA_00266_sense	118.7434506	0.868558392	1.825837526	0.234010529	3.711620999	0.000205936	0.002420448	n/a	hypothetical protein	PROKKA_00266
PROKKA_00270_igbot	291.348993	-0.76372135	-1.697864527	0.202282527	-3.775518143	0.000159675	0.001956249	n/a	tRNA-Arg	PROKKA_00270
PROKKA_00271_sense	74.01913775	-1.112673193	-2.162459619	0.25767037	-4.318203888	1.57E-05	0.000264943	gabD_1	succinate-semialdehyde dehydrogenase	PROKKA_00271
PROKKA_00273_sense	59.26030758	-1.224287082	-2.336399663	0.290059651	-4.220811405	2.43E-05	0.000389569	gabT	4-aminobutyrate aminotransferase	PROKKA_00273
