locus,"	gene", product,locusNumber
PROKKA_00001_igtop,"	dnaA_1"," ""chromosomal replication initiator protein DnaA""",PROKKA_00001
PROKKA_00001_igbot,"	dnaA_1"," ""chromosomal replication initiator protein DnaA""",PROKKA_00001
PROKKA_00001_sense,"	dnaA_1"," ""chromosomal replication initiator protein DnaA""",PROKKA_00001
PROKKA_00001_antis,"	dnaA_1"," ""chromosomal replication initiator protein DnaA""",PROKKA_00001
PROKKA_00002_igtop,"	dnaN_1"," ""DNA polymerase III beta chain""",PROKKA_00002
PROKKA_00002_igbot,"	dnaN_1"," ""DNA polymerase III beta chain""",PROKKA_00002
PROKKA_00002_sense,"	dnaN_1"," ""DNA polymerase III beta chain""",PROKKA_00002
PROKKA_00002_antis,"	dnaN_1"," ""DNA polymerase III beta chain""",PROKKA_00002
PROKKA_00003_igtop,"	recF"," ""RecF protein""",PROKKA_00003
PROKKA_00003_igbot,"	recF"," ""RecF protein""",PROKKA_00003
PROKKA_00003_sense,"	recF"," ""RecF protein""",PROKKA_00003
PROKKA_00003_antis,"	recF"," ""RecF protein""",PROKKA_00003
PROKKA_00004_igtop,"	gyrB"," ""DNA gyrase subunit B""",PROKKA_00004
PROKKA_00004_igbot,"	gyrB"," ""DNA gyrase subunit B""",PROKKA_00004
PROKKA_00004_sense,"	gyrB"," ""DNA gyrase subunit B""",PROKKA_00004
PROKKA_00004_antis,"	gyrB"," ""DNA gyrase subunit B""",PROKKA_00004
PROKKA_00005_igtop,"	lptA"," ""lysophosphatidic acid acyltransferase LptA""",PROKKA_00005
PROKKA_00005_igbot,"	lptA"," ""lysophosphatidic acid acyltransferase LptA""",PROKKA_00005
PROKKA_00005_sense,"	lptA"," ""lysophosphatidic acid acyltransferase LptA""",PROKKA_00005
PROKKA_00005_antis,"	lptA"," ""lysophosphatidic acid acyltransferase LptA""",PROKKA_00005
PROKKA_00006_igtop,"	n/a","  ""D-D-heptose 17-bisphosphate phosphatase""",PROKKA_00006
PROKKA_00006_igbot,"	n/a","  ""D-D-heptose 17-bisphosphate phosphatase""",PROKKA_00006
PROKKA_00006_sense,"	n/a","  ""D-D-heptose 17-bisphosphate phosphatase""",PROKKA_00006
