locus,locusNumber,PAO1 Locus (Nucleotide  from Pseudomonas DB),Pseudomonas.db Gene ID in PAO1 (Pseudomonas aeruginosa PAO1 (Reference)) (Nucleotide from Pseudomonas DB),PAO1 Locus (Protein from Pseudomonas DB),Pseudomonas.db Gene ID in PAO1 (Pseudomonas aeruginosa PAO1 (Reference)) (Protein from Pseudomonas DB),NewNumbering,NewNumberingStranded
PROKKA_00079_sense,PROKKA_00079,PA0074,ppkA,PA0074,serine/threonine protein kinase PpkA,GIY05_RS00395,GIY05_RS00395_sense
PROKKA_00087_sense,PROKKA_00087,PA0082,tssA1,PA0082,TssA1,GIY05_RS00435,GIY05_RS00435_sense
PROKKA_00088_sense,PROKKA_00088,PA0083,tssB1,PA0083,TssB1,GIY05_RS00440,GIY05_RS00440_sense
PROKKA_00089_sense,PROKKA_00089,PA0084,tssC1,PA0084,TssC1,GIY05_RS00445,GIY05_RS00445_sense
PROKKA_00090_sense,PROKKA_00090,PA0085,hcp1,PA0085,Hcp1,GIY05_RS00450,GIY05_RS00450_sense
PROKKA_00095_sense,PROKKA_00095,PA0090,clpV1,PA0090,ClpV1,GIY05_RS00475,GIY05_RS00475_sense
PROKKA_00264_sense,PROKKA_00264,PA0258,Hypothetical Protein,PA0258,hypothetical protein,GIY05_RS01320,GIY05_RS01320_sense
PROKKA_00284_sense,PROKKA_00284,PA0277,Conserved Hypothetical Protein,PA0277,conserved hypothetical protein,GIY05_RS01420,GIY05_RS01420_sense
PROKKA_00634_sense,PROKKA_00634,PA0615,Hypothetical Protein,PA0615,hypothetical protein,GIY05_RS03170,GIY05_RS03170_sense
PROKKA_00637_sense,PROKKA_00637,PA0618,probable bacteriophage protein,PA0618,probable bacteriophage protein,GIY05_RS03185,GIY05_RS03185_sense
PROKKA_00638_sense,PROKKA_00638,PA0619,probable bacteriophage protein,PA0619,probable bacteriophage protein,GIY05_RS03190,GIY05_RS03190_sense
PROKKA_00639_sense,PROKKA_00639,PA0620,probable bacteriophage protein,PA0620,probable bacteriophage protein,GIY05_RS03195,GIY05_RS03195_sense
PROKKA_00640_sense,PROKKA_00640,N/A,N/A,PA0621,conserved hypothetical protein,GIY05_RS03200,GIY05_RS03200_sense
PROKKA_00641_sense,PROKKA_00641,PA0622,probable bacteriophage protein,PA0622,probable bacteriophage protein,GIY05_RS03205,GIY05_RS03205_sense
PROKKA_00642_sense,PROKKA_00642,PA0623,probable bacteriophage protein,PA0623,probable bacteriophage protein,GIY05_RS03210,GIY05_RS03210_sense
PROKKA_00644_sense,PROKKA_00644,PA0625,Hypothetical Protein,PA0625,hypothetical protein,GIY05_RS03220,GIY05_RS03220_sense
PROKKA_00645_sense,PROKKA_00645,PA0626,Hypothetical Protein,PA0626,hypothetical protein,GIY05_RS03225,GIY05_RS03225_sense
PROKKA_00647_sense,PROKKA_00647,PA0628,Conserved Hypothetical Protein,PA0628,conserved hypothetical protein,GIY05_RS03235,GIY05_RS03235_sense
PROKKA_00684_sense,PROKKA_00684,PA4276,secE,N/A,N/A,GIY05_RS03420,GIY05_RS03420_sense
PROKKA_00685_antis,PROKKA_00685,PA4275,nusG,PA4275,transcription antitermination protein NusG,GIY05_RS03425,GIY05_RS03425_antis
PROKKA_00696_antis,PROKKA_00696,PA4267,rpsG,PA4267,30S ribosomal protein S7,GIY05_RS03480,GIY05_RS03480_antis
PROKKA_00697_antis,PROKKA_00697,PA4266,fusA1,PA4266,elongation factor G,GIY05_RS03485,GIY05_RS03485_antis
PROKKA_00699_antis,PROKKA_00699,PA4264,rpsJ,PA4264,30S ribosomal protein S10,GIY05_RS03495,GIY05_RS03495_antis
PROKKA_00700_antis,PROKKA_00700,PA4263,rplC,PA4263,50S ribosomal protein L3,GIY05_RS03500,GIY05_RS03500_antis
